,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,12.93,0.79,0.45,0.88,0.61,0.61,1.03,0.93,2.2,0.77,0.91,1.02,0.98,0.97,0.51,0.91
f_1,1.89,12.95,0.56,0.69,0.44,0.51,0.84,0.78,0.86,0.89,0.53,0.97,0.94,0.86,0.69,0.71
d_1,0.56,0.7,15.72,0.49,0.66,0.62,0.94,1.01,0.45,2.29,0.91,1.21,1.07,1.13,1.04,0.91
c_1,0.49,0.55,0.69,14.4,1.56,0.62,0.91,0.74,0.93,0.45,0.87,0.65,0.97,0.91,0.9,1.07
b_1,0.52,0.57,0.77,0.58,13.72,1.66,0.85,0.89,0.78,0.87,1.21,0.57,0.97,0.75,1.15,1.06
a_1,0.54,0.78,0.8,0.6,0.61,21.03,1.01,1.06,0.93,1.1,1.1,1.03,1.14,0.56,1.33,0.94
h_1,0.67,1.16,0.93,0.86,0.63,0.68,3.45,1.36,0.97,0.92,0.94,1.13,0.69,0.98,1.29,1.78
g_1,0.63,0.58,1.45,0.78,0.82,0.56,1.14,4.49,0.83,1.11,2.13,0.86,0.93,1.12,1.24,0.89
d_0,0.7,0.83,0.42,2.28,0.68,0.78,0.94,0.97,2.32,0.71,1.01,1.03,1.1,1.02,1.02,0.98
c_0,0.92,0.77,0.97,0.48,0.57,0.71,1.24,1.01,1.06,2.32,1.16,3.4,0.95,1.6,1.07,1.28
f_0,0.45,0.56,0.91,1.0,1.02,0.87,1.22,1.14,1.06,0.88,3.1,1.05,1.33,1.14,3.29,1.7
b_0,0.67,0.84,0.91,0.99,0.58,0.43,1.03,1.22,1.17,1.16,1.21,3.16,1.21,3.74,1.2,1.15
h_0,0.73,1.24,0.89,0.72,0.64,0.68,0.59,1.88,1.06,0.96,1.06,1.14,0.64,1.28,0.91,1.6
a_0,0.86,0.85,0.74,0.83,0.93,0.25,1.18,1.27,1.09,1.11,1.49,1.25,0.99,3.85,1.1,1.51
e_0,0.43,0.91,1.16,0.7,0.76,0.73,1.45,1.16,1.08,1.26,1.06,1.32,1.32,1.17,3.37,1.25
g_0,0.43,0.71,1.98,0.74,0.71,0.93,0.89,0.82,0.64,1.08,2.44,1.08,1.09,0.9,1.55,0.95
