,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.2,0.87,0.97,0.86,0.64,0.42,0.4,0.44,0.38,0.37,0.36,0.3,0.3,0.28,0.3
e_1,0.84,1.0,0.89,1.09,1.02,0.8,0.5,0.44,0.46,0.55,0.39,0.43,0.37,0.37,0.34,0.35
d_1,1.11,1.11,1.0,0.86,0.85,0.72,0.5,0.57,0.36,0.47,0.46,0.44,0.37,0.35,0.36,0.28
c_1,1.02,0.93,1.14,1.0,1.25,0.72,0.52,0.37,0.46,0.31,0.34,0.4,0.35,0.34,0.31,0.32
b_1,1.18,0.98,1.19,0.8,1.0,1.15,0.56,0.5,0.48,0.42,0.43,0.38,0.4,0.3,0.34,0.36
a_1,1.51,1.29,1.35,1.41,0.91,1.0,0.77,0.64,0.62,0.56,0.68,0.53,0.48,0.51,0.42,0.48
h_1,2.34,2.04,1.98,1.9,1.71,1.29,1.0,0.9,1.04,0.94,0.89,0.85,0.71,0.63,0.62,0.73
c_0,2.51,2.36,1.79,2.65,1.9,1.47,1.12,1.0,0.87,1.05,1.18,0.91,0.79,0.87,0.74,0.68
g_1,2.34,2.12,2.66,2.29,2.11,1.56,1.02,1.09,1.0,0.96,0.85,1.1,0.75,0.84,0.8,0.73
d_0,2.48,1.9,2.08,3.15,2.39,1.77,1.1,0.92,1.06,1.0,0.91,0.93,0.84,0.88,0.7,0.77
b_0,2.67,2.51,2.2,2.9,2.44,1.44,1.1,0.89,1.19,1.14,1.0,0.96,0.9,1.18,0.86,0.91
f_0,2.73,2.35,2.32,2.5,2.57,1.88,1.23,1.11,0.94,1.02,1.08,1.0,0.97,0.92,1.1,0.64
h_0,3.29,2.78,2.8,2.86,2.53,1.94,1.37,1.29,1.37,1.17,1.11,1.05,1.0,0.93,0.9,1.09
a_0,3.26,2.78,2.82,3.03,3.24,2.08,1.63,1.15,1.35,1.17,0.91,1.09,1.08,1.0,0.87,0.98
e_0,3.64,2.95,2.78,3.13,2.91,2.3,1.55,1.23,1.31,1.4,1.19,0.91,1.12,1.06,1.0,1.04
g_0,3.24,2.87,3.58,3.15,2.77,2.1,1.36,1.47,1.42,1.29,1.17,1.56,0.91,1.02,0.98,1.0
