,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,2.0,3.39,3.76,3.66,3.53,1.87,2.06,2.18,1.77,1.55,1.87,1.26,1.44,2.01,
f_1,5.3,0.42,3.61,4.17,2.95,4.07,1.33,1.7,1.77,1.49,1.72,,0.99,1.65,1.04,1.83
d_1,3.55,3.52,0.4,3.66,3.43,3.77,1.9,1.36,,1.88,1.61,1.47,1.32,1.91,0.95,1.78
c_1,4.26,4.04,3.78,0.39,5.27,3.27,1.96,2.03,0.95,,1.49,1.45,1.51,1.46,1.18,1.47
b_1,3.27,4.03,3.97,2.05,0.36,4.08,2.19,2.21,1.28,1.76,,2.26,1.15,1.65,1.51,1.54
a_1,4.08,3.02,3.26,4.03,2.24,0.3,2.62,1.6,1.54,1.84,1.93,1.83,1.79,,,
h_1,2.03,2.23,1.66,1.58,1.79,1.65,0.27,0.89,0.89,0.75,0.64,0.91,,0.99,0.71,0.72
g_1,1.99,2.37,2.01,1.75,1.48,2.03,0.72,0.24,0.95,0.77,0.81,0.92,0.6,0.81,,0.86
d_0,0.96,1.59,,1.65,2.15,1.62,0.74,1.11,0.3,0.66,0.88,0.58,0.75,0.66,0.76,0.58
c_0,1.36,1.65,1.04,,1.52,1.55,0.89,1.17,0.75,0.28,0.95,0.55,0.65,0.6,0.76,0.72
b_0,1.55,1.52,2.0,1.87,,1.78,0.87,0.75,0.72,0.45,0.27,0.77,0.62,1.04,0.48,0.61
f_0,1.63,,1.62,1.65,1.16,1.31,0.95,0.64,0.89,1.21,0.63,0.25,0.66,0.65,0.46,0.78
h_0,1.55,1.39,1.22,1.12,1.55,1.11,,0.62,0.52,0.52,0.56,0.53,,0.64,0.5,0.58
a_0,1.79,1.58,1.69,1.59,2.1,,0.82,0.93,0.61,1.01,0.41,0.84,0.68,0.22,0.73,
g_0,1.07,1.48,1.4,1.57,1.61,,0.74,,0.54,0.46,0.73,0.8,0.31,0.49,,0.56
e_0,,1.72,1.93,1.76,1.54,,0.76,0.94,0.74,0.65,0.73,0.44,0.62,,0.49,0.21
