,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.94,1.25,1.5,1.66,1.22,0.67,0.62,0.52,0.72,0.52,0.65,0.49,0.52,1.08,0.44
f_1,1.52,0.66,1.3,1.57,1.2,1.07,0.5,0.5,0.48,0.7,0.52,0.75,0.31,0.39,0.45,0.52
d_1,1.88,1.6,0.64,1.34,1.44,1.3,0.58,0.73,0.54,0.41,0.48,0.47,0.45,0.5,0.41,0.29
c_1,1.26,1.42,2.03,0.63,1.59,1.32,0.7,0.34,0.79,0.66,0.56,0.48,0.43,0.43,0.53,0.42
b_1,1.45,2.02,1.54,0.93,0.62,2.06,0.75,0.62,0.74,0.9,1.17,0.64,0.49,0.71,0.51,0.41
a_1,1.91,2.04,1.74,1.92,1.0,0.58,1.03,0.73,0.57,0.69,0.62,0.57,0.51,1.33,0.59,0.68
h_1,2.29,2.14,2.13,2.35,2.08,1.72,0.58,0.93,0.71,1.01,0.79,0.75,0.72,0.64,0.56,0.67
d_0,1.51,2.37,3.96,2.52,2.32,1.97,1.07,0.65,0.96,1.2,0.79,0.86,0.68,0.8,0.84,0.78
c_0,2.57,2.44,1.49,4.53,2.1,2.57,1.1,1.04,0.63,1.05,0.95,0.83,0.64,0.83,0.81,0.64
g_1,2.16,2.48,2.65,2.63,1.84,2.96,0.88,0.88,0.82,0.55,0.88,0.83,0.52,0.66,0.74,0.88
b_0,2.26,2.44,2.41,2.73,2.89,2.22,1.04,0.99,0.59,1.15,0.62,0.84,0.73,1.04,0.75,0.72
f_0,2.22,3.85,2.43,2.81,2.29,2.6,1.13,0.92,0.93,0.8,0.81,0.59,0.74,0.71,0.86,0.49
h_0,2.43,3.37,2.64,2.99,2.68,2.42,1.77,0.97,1.04,1.42,0.94,0.88,1.09,0.83,0.85,0.87
a_0,2.58,3.18,2.84,3.62,3.43,3.81,1.25,1.12,1.04,1.71,0.63,1.08,0.96,0.58,0.95,0.7
e_0,3.49,4.26,3.17,2.68,2.56,2.43,1.76,1.13,1.09,1.12,1.14,0.63,0.85,0.96,0.56,0.83
g_0,3.06,2.67,3.07,2.89,3.17,2.46,1.18,1.13,1.08,1.75,1.11,1.12,0.72,0.94,1.0,1.06
