,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,33.43,0.08,0.07,0.06,0.09,0.07,0.27,0.69,0.28,0.43,0.25,0.38,0.62,0.44,,0.4
f_1,0.13,33.88,0.08,0.06,0.07,0.08,0.26,0.37,0.37,0.29,0.25,,0.53,0.46,0.37,0.58
c_1,0.08,0.07,39.93,0.07,0.14,0.07,0.37,0.34,,0.21,0.28,0.34,0.57,0.24,0.53,0.67
d_1,0.06,0.06,0.03,43.62,0.08,0.09,0.35,,0.59,0.55,0.3,0.42,0.7,0.36,0.48,0.69
b_1,0.05,0.07,0.07,0.09,49.87,0.14,0.34,0.53,0.31,,0.19,0.39,0.48,0.31,0.31,0.62
a_1,0.04,0.07,0.06,0.06,0.05,74.42,0.3,0.5,0.45,0.36,0.29,0.46,0.91,,0.48,0.42
h_1,0.28,0.39,0.28,0.29,0.23,0.26,28.85,1.45,1.24,1.23,1.25,1.78,,1.25,1.66,3.06
d_0,0.42,0.28,0.8,,0.32,0.28,1.46,16.83,2.25,2.1,1.64,1.57,2.91,1.79,1.89,3.38
c_0,0.37,0.47,,0.46,0.33,0.21,1.55,1.95,19.36,2.98,1.34,2.02,3.53,2.31,1.98,2.77
b_0,0.52,0.36,0.34,0.34,,,1.61,1.98,2.15,24.24,1.5,1.76,3.05,3.28,,3.15
g_1,0.19,0.23,0.21,0.43,0.23,0.3,1.38,1.36,1.59,1.8,46.62,2.01,2.08,,1.45,
f_0,0.22,,0.32,0.29,0.26,0.44,1.38,2.64,2.5,2.53,1.9,26.15,4.01,2.22,3.58,2.84
h_0,0.45,0.65,0.73,0.67,0.34,0.77,,2.79,3.96,3.48,3.0,2.58,,2.91,2.73,5.6
a_0,0.25,0.3,0.35,0.43,0.38,,1.33,2.29,1.89,2.38,1.63,2.52,2.58,31.27,2.09,2.99
e_0,,0.47,0.28,0.37,0.37,0.43,1.77,,2.72,1.84,1.86,2.51,4.2,2.09,33.55,2.3
g_0,0.36,0.38,0.66,0.79,0.7,0.44,2.53,2.53,3.96,2.24,,5.08,5.22,2.79,2.51,
