,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,108.61,11.66,16.41,19.91,22.28,74.83,2169.87,5040.38,2625.19,3521.99,5610.05,10486.16,18839.43,,18456.68,28394.03
f_1,23.08,121.71,15.11,10.91,17.89,66.46,1665.54,2713.52,3010.28,5283.94,,5929.46,16282.93,22312.28,21869.01,28040.32
d_1,9.83,15.41,135.83,14.23,22.68,54.24,1834.83,,2871.04,6485.3,5473.87,7414.49,16332.57,25154.85,17711.52,23908.89
c_1,7.95,14.54,15.11,135.98,39.26,56.55,1710.7,2228.8,2043.06,,7344.51,7206.47,22603.28,21300.3,21905.96,31608.8
b_1,9.54,12.21,13.35,10.65,193.13,86.57,1658.5,2696.96,2343.4,3377.44,5201.41,,14191.9,21819.7,16701.12,24826.07
a_1,6.87,8.32,11.18,9.88,10.12,458.76,993.98,1891.74,1608.76,1899.8,2526.46,5641.05,13741.81,,,15886.16
h_1,4.55,7.59,6.95,8.58,10.47,28.91,3067.13,1436.64,1803.73,1651.18,2750.15,3376.05,,12577.07,11450.25,20587.99
d_0,5.28,5.93,,12.49,11.22,32.38,845.4,3649.84,1624.12,1512.9,2992.95,3892.97,7809.16,9973.73,13492.03,12053.93
g_1,5.12,4.66,7.66,7.5,8.82,25.33,623.13,966.82,4664.59,1713.28,4103.73,2499.24,6334.56,8670.95,9526.55,
c_0,6.47,5.12,5.76,,8.9,24.98,930.33,1406.31,1246.38,4470.34,3155.11,4494.67,8823.63,9035.09,8605.88,15092.09
f_0,3.94,,6.82,5.11,9.82,36.88,602.66,1229.29,896.56,1169.35,6353.2,3143.94,6979.2,15868.18,11320.82,10530.71
b_0,2.89,6.99,4.94,4.99,,16.28,623.32,1226.96,1078.08,1281.42,1895.91,7644.43,6435.99,8185.33,13603.08,12196.08
h_0,4.01,6.05,5.78,4.6,7.59,20.94,,1363.11,1251.95,1457.48,2045.54,2616.75,,4643.83,7326.02,11972.97
e_0,,2.5,2.64,3.92,5.36,,458.45,856.35,764.29,1101.87,1075.01,1790.48,7268.11,18768.07,,10157.34
a_0,2.96,3.6,3.46,3.91,7.28,,503.96,734.58,801.97,1091.5,1091.4,1586.51,4790.16,,18116.03,8942.35
g_0,3.14,3.57,6.83,3.98,7.44,19.31,433.66,912.11,,1270.81,2324.07,1878.76,5426.26,5214.06,6417.01,
