,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.18,16.48,12.03,16.13,11.32,12.86,3.71,2.14,,2.47,2.4,2.41,1.81,3.25,1.13,2.17
f_1,13.59,0.17,12.91,17.65,12.79,10.71,2.68,3.8,2.69,3.1,2.61,,1.06,2.16,1.85,2.99
e_1,17.47,7.25,0.17,13.74,11.99,12.0,3.72,3.66,2.68,3.95,3.14,2.87,1.81,2.31,1.36,
c_1,17.37,11.32,14.65,0.14,13.08,14.12,3.01,2.85,1.49,,2.38,3.23,2.4,1.93,1.96,3.52
b_1,13.09,14.62,14.06,7.56,0.13,,3.52,3.04,2.46,2.46,,2.22,1.53,,1.74,2.8
a_1,8.7,12.57,11.08,16.01,,0.09,4.79,,2.92,2.45,3.56,2.64,1.82,,2.02,
h_1,3.41,3.52,3.96,2.77,4.13,2.79,0.07,1.03,0.54,0.68,0.64,0.62,,0.67,0.55,0.59
g_1,3.3,3.95,3.54,2.6,3.91,,0.57,0.06,0.97,0.86,0.59,0.68,0.41,,,
d_0,,3.0,1.52,2.23,2.71,2.31,0.68,0.82,0.09,0.42,0.52,0.5,0.36,0.45,0.45,0.58
c_0,1.37,2.75,2.74,,3.05,2.7,0.74,0.66,0.58,0.09,0.55,0.47,0.28,0.54,0.33,0.59
b_0,3.02,2.77,2.6,4.0,,3.56,0.96,0.68,0.49,0.29,0.07,0.5,0.42,0.47,0.45,0.35
f_0,2.74,,2.34,2.3,2.22,2.49,0.82,0.58,0.5,0.48,0.89,0.07,0.37,0.55,0.2,0.46
h_0,1.52,1.42,2.27,1.89,1.89,1.93,,0.46,0.31,0.3,0.3,0.39,,0.29,0.25,0.25
a_0,2.38,2.42,3.34,2.79,,,0.64,,0.61,0.47,0.37,0.52,0.36,0.05,0.54,
g_0,1.61,1.48,2.07,1.73,1.67,1.88,0.32,,0.34,0.39,0.37,0.45,0.2,0.37,,
e_0,2.48,4.63,,2.01,2.45,,0.91,,0.39,0.37,0.63,0.23,0.41,,,0.04
