,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,11341.68,4068.22,5245.32,7312.12,14176.1,50900.26,4768131.88,11050054.09,25398792.13,14478068.78,36248267.94,35794362.18,156948108.96,150083342.22,149083632.08,283873589.58
e_1,3371.37,12461.64,4931.64,11278.59,15719.57,57682.03,4334894.71,10246807.31,13864951.93,38963145.68,24932343.92,39994469.12,170303303.33,140505259.63,91960767.62,244937778.15
f_1,3560.6,8083.12,13564.32,9120.66,13589.71,43300.66,3473217.17,9390205.69,13345561.34,22158850.32,26898989.64,19716716.92,158066781.89,114781776.52,90539797.74,171918354.62
c_1,4091.12,3950.02,4286.21,29642.34,27328.96,60230.66,4484584.42,9752927.81,7717712.32,19827076.94,18799452.58,35801744.28,143690069.15,102704872.84,105788678.86,249518980.58
b_1,4669.38,3727.63,5124.7,8986.83,53757.14,103619.67,5358441.92,10384645.23,12629829.33,18573970.25,16402614.2,31328144.48,134638420.29,73064919.31,157930101.39,271159335.71
a_1,4510.01,4611.43,5556.03,9371.61,12386.68,264884.29,5121300.42,11595203.33,13244837.99,26243799.79,23621397.05,36511958.99,194017532.62,80606615.03,169602532.49,280719262.07
h_1,4667.11,4432.79,6593.39,10959.15,16642.83,58306.85,9638709.65,14823061.65,14974678.35,22895522.34,29329203.14,33487576.58,129111053.48,115934120.37,163505760.39,368669695.93
g_1,7290.11,3853.24,3603.95,10461.01,16515.83,57615.04,4933390.99,28190158.9,15676694.89,19069460.67,28272698.43,56662323.92,167742962.11,157122787.85,198263058.07,216913342.01
c_0,5330.83,5156.32,5460.21,7028.32,13829.39,56038.35,4739326.98,13410845.91,25556852.04,25758654.72,53762250.07,40907657.34,198858699.13,194895692.95,152025456.65,288668265.45
d_0,3299.3,5100.79,5694.59,19235.14,15994.91,49677.24,4638171.86,12152072.6,10542952.26,39086422.26,22118403.18,37702444.59,170115555.26,128550891.42,154519070.85,283787111.14
b_0,5644.75,5040.58,5363.91,9573.3,9823.53,45492.7,5496357.58,13484383.91,17396889.19,23279551.68,52042732.73,34669147.97,193723446.2,319666924.19,148342792.83,309026157.97
f_0,5005.82,3600.62,4693.6,10339.55,16285.12,78563.37,5972599.06,14236870.36,17360887.58,23147365.26,31398251.66,69508756.35,212559571.62,147431065.46,360220864.84,302613895.53
h_0,5255.22,4793.74,7497.16,10984.75,16468.65,45629.36,3390156.62,15276979.23,16738258.26,21351955.51,24913192.2,32988875.23,133423036.16,161717021.41,117811155.12,337505983.02
a_0,5449.79,5408.43,5322.5,11249.63,12774.69,43438.81,5728069.8,13869309.16,17612506.59,25138803.02,31566429.56,40628526.08,185696649.13,280569290.16,135588769.97,290894141.23
e_0,5338.89,3875.98,5601.32,10796.79,17106.4,59348.5,5717048.99,12620043.98,16852192.35,22564535.7,30089160.53,38247008.55,217660420.87,151734489.22,324786952.61,313362697.88
g_0,7100.98,4298.55,5211.76,9654.49,14662.63,58023.76,5063671.96,11694249.25,17671751.86,20753096.99,27133975.12,56210047.33,158405158.05,164283958.26,150793942.28,262045461.64
