,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.81,0.96,0.93,0.72,0.62,0.65,0.68,0.79,0.69,0.58,0.53,0.48,0.43,0.55
e_1,0.75,1.0,0.98,1.1,0.97,1.01,0.72,0.66,0.93,0.79,0.69,0.74,0.61,0.61,0.64,0.58
d_1,1.23,1.03,1.0,0.9,0.93,0.79,0.76,0.85,0.61,0.52,0.69,0.68,0.65,0.63,0.66,0.5
c_1,1.05,0.9,1.11,1.0,1.39,0.79,0.68,0.59,0.47,0.63,0.55,0.67,0.59,0.54,0.58,0.46
b_1,1.07,1.04,1.08,0.72,1.0,1.4,0.76,0.74,0.69,0.77,0.72,0.58,0.53,0.72,0.57,0.72
a_1,1.38,0.99,1.26,1.29,0.72,1.0,0.94,0.76,0.81,0.81,0.76,0.69,0.63,0.7,0.76,0.67
h_1,1.65,1.36,1.31,1.42,1.36,1.05,1.0,0.92,0.98,0.99,0.92,0.82,0.82,0.9,0.75,0.92
c_0,1.48,1.52,1.18,1.59,1.31,1.29,1.11,1.0,1.09,1.07,1.39,0.93,1.05,0.88,0.83,0.85
d_0,1.48,1.05,1.67,2.13,1.5,1.26,1.01,0.89,1.0,1.04,0.94,0.98,0.86,0.87,0.86,0.91
g_1,1.34,1.26,1.91,1.58,1.36,1.18,1.01,0.91,0.97,1.0,0.94,1.19,0.91,0.8,0.85,0.91
b_0,1.48,1.48,1.41,1.86,1.37,1.24,1.05,0.78,1.11,1.08,1.0,1.05,1.29,0.88,0.83,0.87
f_0,1.83,1.32,1.49,1.52,1.68,1.4,1.21,1.03,1.01,0.81,0.89,1.0,1.03,0.94,1.37,0.75
a_0,1.92,1.71,1.64,1.68,1.78,1.72,1.24,0.97,1.27,1.05,0.79,0.99,1.0,1.12,1.01,1.01
h_0,2.05,1.6,1.67,1.83,1.39,1.49,1.04,1.08,1.2,1.23,1.17,0.98,0.9,1.0,0.95,1.11
e_0,2.35,1.59,1.45,1.76,1.64,1.44,1.33,1.18,1.19,1.18,1.29,0.71,1.08,1.05,1.0,0.98
g_0,1.85,1.65,2.07,2.1,1.36,1.46,1.1,1.12,1.13,1.06,1.1,1.25,1.0,0.86,1.0,1.0
