,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,1.24,0.9,1.47,1.45,1.03,0.76,0.65,0.79,0.65,0.54,0.66,0.51,0.6,1.53,0.61
d_1,1.72,0.41,1.32,1.22,1.21,1.24,0.65,1.24,0.48,0.62,0.52,0.61,0.41,0.56,0.62,0.37
f_1,1.48,1.2,0.4,1.31,1.18,1.23,0.52,0.58,0.76,0.49,0.62,1.22,0.44,0.6,0.53,0.47
c_1,1.11,1.52,1.29,0.39,1.77,1.09,0.7,0.37,0.61,1.11,0.5,0.57,0.44,0.51,0.66,0.61
b_1,1.25,1.35,1.35,0.73,0.36,1.75,0.71,0.7,0.77,0.62,1.43,0.62,0.62,0.59,0.73,0.48
a_1,1.69,1.37,1.41,1.43,0.72,0.3,0.67,0.54,0.69,0.69,0.81,0.54,0.45,1.48,0.62,0.48
h_1,0.88,1.01,1.11,0.96,0.93,1.06,0.26,0.39,0.59,0.43,0.41,0.37,0.62,0.43,0.35,0.35
d_0,0.59,1.47,0.99,1.13,0.93,1.27,0.64,0.28,0.57,0.43,0.42,0.43,0.41,0.4,0.32,0.4
g_1,0.94,1.06,1.05,1.11,0.85,0.99,0.45,0.42,0.24,0.41,0.5,0.41,0.29,0.37,0.35,0.55
c_0,0.92,0.59,1.12,2.59,0.97,0.89,0.65,0.53,0.53,0.27,0.54,0.4,0.54,0.44,0.38,0.33
b_0,0.95,1.0,0.88,1.19,1.59,0.94,0.45,0.39,0.55,0.27,0.25,0.35,0.44,0.44,0.32,0.32
f_0,0.81,0.8,1.82,1.06,0.97,1.04,0.54,0.48,0.36,0.39,0.41,0.24,0.41,0.48,0.55,0.3
h_0,0.88,0.97,0.9,1.16,0.86,1.01,1.06,0.4,0.74,0.34,0.34,0.43,0.53,0.33,0.33,0.34
a_0,0.84,1.03,0.89,0.98,1.47,,0.52,0.48,0.65,0.4,0.26,0.41,0.37,0.22,0.37,0.41
e_0,1.04,0.92,1.17,1.0,0.99,1.05,0.48,0.51,0.6,0.45,0.51,0.24,0.39,0.41,0.2,0.39
g_0,0.96,0.89,1.08,0.82,1.03,0.99,0.53,0.48,0.88,0.46,0.51,0.51,0.3,0.47,0.35,0.62
