,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,10009.96,7886.34,4210.29,10342.24,8291.16,68116.4,4611172.66,10184562.26,16126446.3,27079861.46,17879835.61,31056090.77,198395976.38,89969994.72,161568471.5,415423167.76
e_1,4110.11,12262.28,4154.17,12527.64,9581.52,64747.29,5149273.82,10774394.45,14879432.3,49001237.72,33989167.94,33632070.67,200665419.91,107573414.12,185164667.93,487764167.79
d_1,3953.69,3987.52,13208.77,7580.6,11198.89,75239.9,4886446.24,10287320.22,33320258.55,14851077.58,32284863.0,34684857.91,189074163.38,170068067.15,175711657.54,476939766.66
c_1,3872.06,4056.26,4267.51,31344.62,19188.56,78134.79,4897499.9,10791072.83,8564663.85,25591429.36,27239425.34,22450938.47,171495311.12,118213468.74,154751285.42,463952439.16
b_1,4371.21,3886.81,4838.16,8918.09,35180.75,130015.02,4937336.94,9573605.79,17391018.51,23985068.62,31714319.81,20794959.07,195597308.22,133853135.63,151596390.47,451419385.75
a_1,4439.98,3722.55,4999.4,10224.76,11203.48,386409.72,6053276.62,8525151.5,20254899.69,22794595.13,24076710.33,32731311.6,188101525.46,184824582.89,136832715.53,489480922.65
h_1,5493.94,4634.84,5308.18,10666.72,12259.55,74735.69,10686796.59,13920488.13,15539197.1,23143431.17,32177437.8,29462042.21,146454132.52,144377255.41,228395541.99,760746992.82
g_1,3629.84,4195.71,7496.82,9903.8,11526.6,75909.42,5563702.29,26666339.77,19084760.38,24554202.58,51561920.3,33883547.62,199385284.26,163959035.64,196481822.19,455450109.73
c_0,4319.07,5412.19,5460.96,8970.15,8268.52,80629.74,5775188.05,13313153.28,30844017.16,31673338.92,37512596.28,67487614.8,235827712.9,182797776.05,274915775.25,595375412.59
d_0,4066.29,4976.88,3749.49,21430.33,11604.58,68193.01,5421409.98,10814071.63,11422853.49,46575005.72,29631979.21,31171302.81,212221726.07,170291754.45,178701865.15,612917902.86
f_0,2729.87,3796.02,6657.59,12378.8,12851.65,83890.17,5360559.17,13051327.93,21993940.5,29631504.18,59003457.51,37348989.94,245600753.26,350282229.64,247168224.0,632824638.17
b_0,4405.45,4837.62,5547.99,11481.79,9036.31,66662.73,5834420.75,13503975.14,19125165.66,30816764.35,35362341.54,56420814.59,248008603.78,197630051.74,443858430.43,625200244.93
h_0,5182.88,5509.21,5868.9,12347.14,8829.6,75177.32,4203997.19,16766252.41,19957204.11,28405158.31,29909283.83,33897188.34,145002174.83,138751930.34,204650989.12,688718167.95
e_0,5147.07,3810.45,5798.91,10108.32,11314.31,94681.32,6399140.53,12419365.7,20614814.24,23643515.36,26572670.26,37084935.42,247742409.25,368617202.72,237935933.66,666799164.28
a_0,4271.77,4787.48,5975.44,10891.98,9918.49,54338.49,5759950.09,12692633.88,22140280.82,26658301.61,38944074.66,36797550.86,258303911.88,178821841.92,443307310.23,711995613.26
g_0,3263.29,4513.57,8058.29,12093.09,10151.91,74381.79,5026552.57,10897062.5,20718929.46,24152027.61,52370259.24,38022243.01,230417918.02,209177401.51,232566345.35,419871099.45
