,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.37,0.66,0.91,1.05,0.76,0.66,1.68,1.23,1.56,3.02,1.61,1.63,2.05,1.3,0.89,1.74
d_1,0.88,2.41,0.85,0.64,0.71,0.65,1.75,1.45,3.19,0.83,1.8,1.86,2.1,1.71,1.58,2.12
f_1,1.45,0.81,2.4,0.72,0.64,0.55,1.55,1.36,1.61,1.66,0.98,1.53,1.71,1.58,0.87,1.76
c_1,0.66,0.79,0.88,2.5,1.45,0.66,1.47,1.12,0.96,1.51,1.52,0.97,2.18,1.09,1.38,2.1
b_1,0.76,0.77,0.81,0.81,2.55,1.36,1.5,1.41,1.21,1.61,1.44,0.83,2.31,1.06,1.5,1.97
a_1,0.86,0.94,0.87,0.92,0.74,3.0,1.38,1.54,1.31,1.71,1.55,1.73,1.95,0.99,1.78,1.66
h_1,0.84,1.01,1.25,0.9,0.79,0.6,3.18,1.92,1.75,1.65,1.78,1.94,1.7,1.37,1.55,2.78
g_1,0.81,1.47,0.84,0.71,0.75,0.76,1.75,3.58,2.15,1.54,2.72,2.07,2.01,1.42,1.78,1.84
c_0,0.93,1.17,1.04,0.57,0.73,0.69,2.0,1.75,3.15,1.76,1.93,3.56,2.12,2.14,1.53,2.36
d_0,0.81,0.62,0.97,1.73,0.93,0.62,1.68,1.28,1.12,3.22,1.63,1.57,2.31,1.46,1.39,2.08
f_0,0.73,0.97,0.87,0.89,0.97,0.66,1.95,1.96,2.11,1.79,3.34,2.04,2.64,1.57,3.55,2.44
b_0,0.87,1.2,1.05,0.97,0.57,0.44,1.82,1.58,1.85,1.69,1.85,3.29,2.67,3.54,1.68,2.37
h_0,0.78,1.03,1.26,1.04,0.81,0.74,1.22,2.26,1.63,1.81,1.69,1.84,1.73,1.67,1.52,3.12
a_0,0.81,1.05,1.1,0.97,0.8,0.47,1.93,1.67,1.93,1.87,1.87,2.12,2.84,3.55,1.8,2.77
e_0,0.68,1.05,1.09,0.87,0.83,0.73,2.05,1.68,2.02,1.67,1.91,2.05,2.86,1.56,3.63,2.56
g_0,0.72,1.45,0.79,1.05,0.84,0.72,1.6,1.22,1.8,1.49,2.59,1.96,2.29,1.34,1.81,1.55
