,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.03,0.77,0.62,0.98,0.69,0.67,0.91,1.05,0.79,1.57,1.06,1.11,0.98,1.01,0.75,1.06
f_1,1.26,2.07,0.71,0.75,0.63,0.52,0.99,0.85,0.8,0.93,0.94,0.43,0.89,0.97,0.8,0.83
d_1,0.7,0.82,2.26,0.56,0.79,0.8,0.94,0.96,1.77,0.61,1.17,0.94,1.11,1.02,1.06,0.95
c_1,0.69,0.74,0.76,2.38,1.4,0.64,0.78,0.8,0.48,0.88,0.59,1.04,0.87,0.85,1.08,0.94
b_1,0.66,0.72,0.81,0.74,2.49,1.5,0.94,0.85,0.91,0.82,0.61,1.0,1.05,0.66,0.99,0.96
a_1,0.73,0.86,0.87,0.7,0.64,3.38,1.11,0.87,1.05,1.03,0.97,1.09,1.01,0.8,0.94,1.15
h_1,0.81,1.1,0.84,0.89,0.67,0.74,2.09,1.41,0.95,0.9,1.13,1.01,0.76,1.12,0.91,1.34
g_1,0.64,0.77,1.28,0.84,0.74,0.71,0.99,2.39,1.1,0.89,1.07,1.7,1.22,1.06,1.26,0.84
c_0,0.84,0.94,0.93,0.67,0.57,0.88,1.19,0.94,1.76,1.02,2.16,1.11,1.12,1.41,1.11,1.08
d_0,0.88,0.88,0.54,1.53,0.85,0.65,1.04,1.04,0.7,1.64,1.1,1.1,1.02,0.99,1.12,1.13
b_0,0.79,0.91,1.02,0.77,0.56,0.65,1.13,1.28,1.21,1.0,1.88,1.2,1.18,2.36,1.12,1.11
f_0,0.72,0.68,0.98,0.97,0.83,0.87,1.05,1.26,1.03,1.06,1.15,1.85,1.21,1.15,2.01,0.96
h_0,0.83,1.15,1.01,0.84,0.7,0.68,0.79,1.27,1.03,0.95,1.11,0.96,0.85,0.98,1.01,1.5
a_0,0.87,0.87,0.96,0.77,0.93,0.48,1.1,1.25,1.17,1.08,1.13,1.09,1.21,2.21,1.12,1.09
e_0,0.55,0.94,0.88,0.99,0.86,0.79,1.21,1.12,1.15,1.17,1.13,1.19,1.14,0.87,2.33,1.17
g_0,0.68,0.76,1.27,0.99,0.85,0.76,0.86,0.83,1.07,0.81,1.2,1.73,0.94,1.18,1.06,0.71
