,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.09,2.58,2.65,3.29,2.85,3.12,0.62,0.51,0.87,0.6,0.53,0.78,0.31,0.56,0.44,0.53
e_1,1.83,1.1,3.39,3.64,3.29,3.14,1.01,0.72,1.01,0.73,0.66,0.98,0.47,0.6,0.48,0.85
d_1,3.63,3.85,1.1,2.97,2.87,2.5,0.76,0.64,0.58,1.05,0.62,0.56,0.46,0.51,0.31,0.55
c_1,3.69,2.59,4.06,1.11,3.13,3.07,1.06,0.93,0.97,0.4,0.73,0.62,0.45,0.62,0.44,0.58
b_1,5.44,4.38,3.62,2.09,1.12,3.81,1.26,1.3,1.15,0.9,1.59,0.86,0.65,0.76,0.65,0.74
a_1,5.98,6.49,7.26,6.25,2.93,1.14,1.73,1.32,1.96,1.5,1.59,1.32,1.01,2.33,1.13,1.44
h_1,12.01,10.6,10.74,11.12,10.1,10.01,1.58,2.09,2.95,2.37,2.54,1.88,2.24,2.11,1.69,2.45
c_0,16.2,15.59,8.36,22.01,15.21,13.23,4.27,1.97,3.76,4.58,3.37,2.89,2.2,3.12,2.01,2.54
g_1,15.79,14.44,14.69,19.89,13.27,11.47,3.2,2.59,1.67,3.03,3.05,2.73,1.5,3.07,2.49,3.22
d_0,14.4,8.87,25.69,15.8,16.72,16.04,4.49,2.93,5.0,2.03,3.1,3.31,2.53,2.98,2.25,3.13
b_0,16.7,16.85,15.48,24.1,23.75,15.49,4.98,1.97,4.85,3.49,1.99,3.48,2.46,4.03,2.44,3.38
f_0,31.58,17.35,17.25,18.04,15.56,14.5,5.73,3.28,3.39,3.48,3.52,2.0,2.56,3.99,1.56,3.42
h_0,22.5,21.98,22.67,22.46,20.83,18.49,9.12,4.37,7.65,4.97,4.37,5.04,4.4,4.61,3.46,3.85
a_0,28.26,22.4,22.67,30.02,27.35,25.89,9.12,4.18,5.86,4.85,2.55,4.41,3.83,2.36,3.59,5.4
g_0,25.74,26.61,26.47,25.6,27.35,21.07,5.37,5.7,11.4,5.39,5.06,6.37,3.14,5.95,4.97,5.23
e_0,39.56,41.64,23.59,30.57,30.77,25.89,8.11,5.14,7.14,5.26,6.28,2.81,4.64,6.24,3.08,2.36
