,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.34,1.13,0.9,1.25,1.04,0.75,1.95,1.77,3.39,2.03,2.07,2.02,2.64,1.8,1.51,2.44
f_1,1.73,2.35,1.0,0.96,0.86,0.73,1.92,1.66,2.14,1.82,1.56,2.07,2.6,1.78,1.21,2.05
d_1,1.06,1.25,2.53,0.82,0.94,0.87,2.12,1.81,1.54,3.69,2.03,2.5,2.81,2.03,2.02,2.41
c_1,1.0,1.09,1.03,2.55,1.62,0.84,1.99,1.67,2.02,1.51,1.77,1.41,2.68,1.56,1.62,2.33
b_1,1.04,1.08,0.89,1.07,2.64,1.5,1.84,1.72,2.03,1.98,2.07,1.76,2.83,1.5,1.8,2.21
a_1,1.06,1.16,1.04,1.03,0.99,3.11,2.04,1.82,2.44,2.19,2.22,2.37,3.27,1.67,1.68,2.47
h_1,1.15,1.42,1.24,0.92,1.0,0.84,3.47,2.38,1.91,2.31,2.27,2.21,2.35,2.03,2.17,3.13
g_1,1.03,1.11,1.61,1.19,0.95,0.82,1.81,3.76,1.8,2.47,3.22,2.2,2.91,2.05,2.48,2.43
d_0,1.15,1.14,0.88,1.92,1.14,0.77,1.88,1.81,3.37,1.62,2.12,2.08,2.58,1.84,1.94,2.78
c_0,1.2,1.31,1.11,0.9,0.8,1.07,2.31,2.08,2.24,3.36,2.34,4.34,3.02,2.77,2.58,3.2
f_0,1.02,1.04,1.22,1.2,1.03,0.88,2.24,2.3,2.27,2.3,3.57,2.61,3.13,2.01,4.16,2.68
b_0,1.23,1.31,1.17,1.19,0.81,0.75,2.15,2.02,2.16,2.18,2.61,3.51,3.01,3.85,2.22,3.26
h_0,1.16,1.55,1.14,1.12,1.03,0.8,1.81,2.42,1.86,2.17,2.32,2.16,2.37,1.74,2.15,3.36
a_0,1.18,1.4,1.19,1.03,1.17,0.57,2.35,1.89,2.12,2.23,2.61,2.2,3.63,3.72,2.21,3.22
e_0,1.01,1.2,1.22,1.21,1.13,0.96,2.15,2.17,1.97,2.33,2.29,2.29,3.1,2.06,3.83,3.02
g_0,1.08,1.07,1.59,1.06,1.0,0.93,2.39,1.86,1.94,2.39,3.17,2.12,3.07,1.81,2.45,2.22
