,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.85,1.29,0.92,0.92,0.53,0.43,0.43,0.43,0.37,0.41,0.3,0.26,0.3,0.21,0.3
d_1,1.16,1.0,0.98,0.86,0.82,0.74,0.54,0.42,0.39,0.63,0.42,0.39,0.38,0.37,0.34,0.26
e_1,0.78,1.03,1.0,1.15,0.89,0.79,0.5,0.64,0.49,0.39,0.44,0.48,0.4,0.33,0.37,0.35
c_1,1.08,1.19,0.87,1.0,1.32,0.87,0.43,0.33,0.44,0.38,0.37,0.37,0.38,0.33,0.29,0.32
b_1,1.07,1.22,1.13,0.75,1.0,1.13,0.64,0.49,0.48,0.51,0.43,0.4,0.44,0.31,0.4,0.39
a_1,1.88,1.35,1.26,1.17,0.89,1.0,0.67,0.59,0.68,0.54,0.55,0.5,0.52,0.46,0.48,0.37
h_1,2.29,1.87,2.02,2.34,1.59,1.49,1.0,0.82,1.06,0.76,0.81,0.78,0.68,0.56,0.61,0.8
d_0,2.31,2.29,1.47,3.06,2.18,1.76,1.24,1.0,0.95,0.77,0.96,0.9,0.75,0.72,0.75,0.71
g_1,2.29,2.68,2.09,2.32,1.99,1.51,0.97,0.98,1.0,0.95,0.91,1.08,0.71,0.85,0.71,0.83
c_0,2.59,1.57,2.42,2.75,1.89,1.81,1.27,1.33,1.06,1.0,1.47,0.9,0.92,0.75,0.73,0.79
b_0,2.5,2.45,2.22,2.79,2.2,1.74,1.25,1.0,1.09,0.69,1.0,0.94,1.01,1.17,0.89,0.79
f_0,3.18,2.47,2.13,2.76,2.37,2.05,1.22,1.1,1.0,1.12,1.0,1.0,0.92,0.81,1.26,0.66
h_0,3.66,2.62,2.6,2.75,2.22,1.84,1.48,1.33,1.49,1.05,0.96,1.09,1.0,0.82,0.8,1.12
a_0,3.15,2.72,2.79,2.96,3.4,2.27,1.78,1.39,1.2,1.45,0.87,1.27,1.27,1.0,0.89,1.03
e_0,4.74,2.91,2.67,3.35,2.81,2.19,1.65,1.36,1.44,1.41,1.21,0.8,1.22,1.24,1.0,0.88
g_0,3.32,3.76,2.67,3.07,2.62,2.66,1.25,1.34,1.23,1.31,1.24,1.46,0.88,0.98,1.13,1.0
