,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.66,1.45,1.36,1.22,1.4,1.24,0.52,0.67,0.55,0.44,0.73,0.52,0.36,0.42,0.47,0.41
e_1,0.93,0.66,1.66,1.49,1.43,1.22,0.66,0.72,0.59,0.53,0.63,0.53,0.46,0.92,0.53,0.44
c_1,1.63,1.18,0.65,1.67,1.52,1.09,0.63,0.69,0.34,0.64,0.48,0.48,0.44,0.48,0.45,0.48
d_1,1.62,1.63,1.41,0.64,1.51,1.24,0.63,0.44,0.96,0.57,0.47,0.43,0.42,0.47,0.41,0.32
b_1,1.59,1.7,0.98,1.5,0.63,2.06,0.77,0.69,0.59,0.8,0.55,0.98,0.45,0.53,0.58,0.43
a_1,1.93,1.72,2.47,2.27,0.95,0.56,0.82,0.85,0.61,0.65,0.71,0.98,0.67,0.73,0.99,0.55
h_1,2.25,2.17,1.9,2.06,1.86,1.98,0.58,1.15,0.85,0.83,0.86,0.82,0.82,0.75,0.68,0.74
g_1,2.39,2.45,2.37,2.7,2.6,1.94,0.8,0.55,0.81,0.87,1.06,0.76,0.51,0.69,0.78,0.83
d_0,2.37,1.54,2.79,2.72,2.82,2.16,1.09,1.09,0.65,0.77,0.85,0.83,0.68,0.77,0.88,0.8
c_0,2.58,2.45,4.32,1.46,2.37,2.71,1.11,1.1,1.06,0.63,0.88,1.02,0.75,0.75,0.95,0.72
f_0,3.77,2.09,2.62,2.43,2.65,1.9,1.15,0.72,0.89,0.89,0.6,0.93,0.76,0.83,0.97,0.48
b_0,2.78,2.42,3.18,2.45,3.4,1.84,1.25,1.15,0.91,0.53,0.83,0.59,0.8,0.74,1.05,0.71
h_0,3.0,2.79,2.67,2.53,2.72,2.41,1.56,1.46,0.93,0.89,0.92,0.8,0.98,0.84,0.85,0.73
e_0,3.87,3.45,2.71,2.82,2.68,2.45,1.14,1.29,1.1,0.98,0.63,1.16,0.86,0.58,1.06,0.67
a_0,2.8,2.73,3.19,3.23,3.03,3.69,1.54,1.14,0.93,0.95,1.15,0.59,0.78,0.84,0.58,0.88
g_0,3.14,2.85,2.8,2.72,3.03,3.16,1.1,1.73,1.13,0.99,1.31,1.14,0.72,0.98,0.95,1.07
