,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.3,0.25,0.22,0.31,0.28,0.3,0.48,1.01,0.58,0.54,0.61,0.59,0.8,,0.57,0.79
f_1,0.4,2.38,0.24,0.3,0.34,0.31,0.53,0.59,0.45,0.62,0.67,,0.76,0.57,0.58,0.63
d_1,0.28,0.25,2.52,0.24,0.32,0.24,0.55,,0.44,1.05,0.68,0.77,0.74,0.75,0.59,0.52
c_1,0.23,0.23,0.33,2.57,0.4,0.38,0.62,0.42,0.56,,0.6,0.73,0.82,0.57,0.8,0.81
b_1,0.31,0.24,0.24,0.24,2.68,0.47,0.56,0.73,0.52,0.4,,0.79,1.17,0.64,,0.64
a_1,0.26,0.26,0.33,0.24,0.18,3.33,0.49,0.74,,0.89,0.57,0.53,0.78,,,
h_1,0.51,0.68,0.55,0.59,0.63,0.56,3.89,1.29,1.31,1.05,1.23,0.8,,1.15,0.89,1.8
d_0,0.55,0.68,,1.21,0.6,0.49,1.1,3.42,1.27,1.28,1.33,1.67,1.45,1.03,1.93,1.45
g_1,0.45,0.45,0.8,0.49,0.57,,0.88,1.18,4.31,1.12,1.09,1.51,1.35,1.4,1.6,
c_0,0.64,0.67,0.62,,0.66,0.49,1.44,1.19,1.17,3.61,2.19,1.19,1.85,1.39,,1.83
b_0,0.77,0.65,0.59,0.52,,0.48,1.28,1.33,1.26,1.16,3.84,1.16,1.68,1.5,2.57,1.65
f_0,0.71,,0.55,0.41,0.54,0.8,1.75,1.19,1.46,1.56,1.48,3.92,1.71,1.93,,1.91
h_0,0.78,1.01,0.85,0.62,0.48,0.65,,2.21,1.91,1.8,1.47,1.58,,1.63,1.51,2.39
e_0,,0.77,0.55,0.64,0.56,,1.42,1.51,1.05,1.39,1.33,1.54,1.82,4.79,,2.01
a_0,0.66,0.73,0.69,0.55,,,1.45,1.04,1.1,,1.39,,1.73,,4.83,
g_0,0.65,0.84,1.2,0.87,0.96,,1.18,1.6,,1.76,1.36,1.99,2.14,1.64,,
