,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,0.73,0.67,0.58,0.68,0.61,0.3,0.33,0.3,0.38,0.28,0.34,0.2,0.28,0.26,0.29
e_1,0.47,0.41,0.85,0.65,0.67,0.72,0.36,0.37,0.32,0.38,0.32,0.39,0.29,0.39,0.32,0.27
c_1,0.69,0.52,0.39,0.8,0.84,0.68,0.38,0.2,0.33,0.32,0.25,0.28,0.26,0.29,0.27,0.25
d_1,0.72,0.74,0.67,0.38,0.65,0.57,0.32,0.42,0.31,0.27,0.33,0.28,0.27,0.24,0.29,0.17
b_1,0.75,0.74,0.42,0.71,0.36,0.81,0.38,0.29,0.37,0.4,0.42,0.31,0.29,0.27,0.29,0.27
a_1,0.76,0.72,0.63,0.79,0.38,0.31,0.43,0.36,0.35,0.38,0.48,0.32,0.26,0.34,0.54,0.29
h_1,0.66,0.66,0.64,0.66,0.59,0.49,0.23,0.29,0.25,0.38,0.27,0.29,0.27,0.28,0.3,0.26
d_0,0.61,0.42,0.78,0.74,0.71,0.56,0.38,0.25,0.29,0.37,0.3,0.31,0.26,0.3,0.28,0.3
c_0,0.71,0.66,0.88,0.43,0.63,0.55,0.37,0.35,0.23,0.36,0.37,0.29,0.24,0.28,0.3,0.23
g_1,0.66,0.62,0.66,0.68,0.61,0.54,0.26,0.29,0.27,0.21,0.28,0.29,0.19,0.29,0.34,0.24
b_0,0.67,0.56,0.92,0.53,0.8,0.53,0.33,0.32,0.17,0.34,0.21,0.26,0.24,0.31,0.3,0.24
f_0,0.81,0.6,0.63,0.66,0.6,0.5,0.32,0.28,0.29,0.25,0.3,0.2,0.24,0.3,0.28,0.17
h_0,0.68,0.56,0.64,0.57,0.61,0.58,0.41,0.3,0.27,0.36,0.27,0.29,0.28,0.27,0.25,0.28
e_0,0.84,0.67,0.56,0.67,0.59,0.6,0.33,0.25,0.28,0.29,0.26,0.17,0.25,0.19,0.26,0.22
a_0,0.69,0.57,0.81,0.59,0.85,0.63,0.32,0.3,0.24,0.33,0.17,0.26,0.24,0.29,0.18,0.21
g_0,0.6,0.64,0.69,0.66,0.59,0.59,0.28,0.28,0.26,0.44,0.27,0.3,0.18,0.25,0.28,0.27
