,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,0.44,0.59,0.68,0.63,0.54,0.33,0.32,0.27,0.33,0.29,0.35,0.24,0.26,0.3,0.34
f_1,0.63,0.41,0.59,0.58,0.56,0.52,0.27,0.28,0.25,0.36,0.25,0.29,0.18,0.27,0.24,0.22
d_1,0.65,0.62,0.39,0.57,0.55,0.57,0.31,0.3,0.3,0.25,0.27,0.25,0.21,0.25,0.16,0.27
c_1,0.49,0.6,0.72,0.37,0.7,0.52,0.31,0.18,0.3,0.3,0.24,0.25,0.23,0.27,0.22,0.27
b_1,0.58,0.63,0.7,0.39,0.35,0.74,0.32,0.26,0.35,0.35,0.33,0.25,0.24,0.24,0.22,0.23
a_1,0.67,0.68,0.61,0.62,0.35,0.3,0.32,0.29,0.26,0.36,0.33,0.24,0.24,0.33,0.25,0.23
h_1,0.55,0.61,0.54,0.61,0.56,0.51,0.24,0.26,0.22,0.31,0.26,0.24,0.25,0.22,0.25,0.25
d_0,0.41,0.56,0.66,0.69,0.61,0.56,0.31,0.23,0.25,0.31,0.28,0.28,0.23,0.23,0.25,0.27
c_0,0.6,0.65,0.39,0.73,0.58,0.58,0.35,0.34,0.22,0.29,0.29,0.27,0.23,0.28,0.2,0.26
g_1,0.57,0.58,0.56,0.63,0.57,0.51,0.26,0.28,0.25,0.2,0.26,0.28,0.19,0.25,0.23,0.26
b_0,0.53,0.58,0.48,0.74,0.67,0.51,0.34,0.27,0.18,0.3,0.21,0.24,0.2,0.29,0.21,0.28
f_0,0.52,0.67,0.53,0.59,0.6,0.56,0.3,0.25,0.24,0.22,0.25,0.2,0.24,0.25,0.15,0.27
h_0,0.54,0.63,0.55,0.61,0.56,0.51,0.31,0.27,0.24,0.31,0.25,0.23,0.26,0.24,0.23,0.22
a_0,0.56,0.56,0.54,0.57,0.73,0.61,0.34,0.29,0.21,0.29,0.16,0.26,0.2,0.18,0.19,0.29
g_0,0.53,0.59,0.6,0.56,0.55,0.47,0.25,0.27,0.25,0.35,0.28,0.29,0.19,0.3,0.22,0.29
e_0,0.62,0.71,0.52,0.56,0.58,0.52,0.31,0.25,0.24,0.27,0.24,0.16,0.23,0.26,0.16,0.17
