,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.67,0.71,0.75,0.61,0.51,0.86,0.74,0.7,1.4,0.82,0.8,0.93,0.7,0.5,0.85
f_1,1.07,1.51,0.67,0.6,0.55,0.57,0.64,0.74,0.56,0.71,0.75,0.39,0.75,0.64,0.49,0.73
d_1,0.7,0.74,1.53,0.61,0.61,0.64,0.83,1.32,0.73,0.54,0.78,0.76,0.88,0.69,0.79,0.67
c_1,0.71,0.74,0.71,1.59,1.01,0.45,0.74,0.47,0.8,0.66,0.76,0.81,0.86,0.58,0.65,0.86
b_1,0.73,0.8,0.74,0.59,1.64,1.03,0.86,0.76,0.59,0.8,0.36,0.79,0.9,0.6,0.69,0.82
a_1,0.81,0.76,0.7,0.83,0.52,1.73,0.94,0.89,0.86,0.74,1.08,0.98,1.09,0.8,0.83,1.0
h_1,0.82,1.22,0.92,0.84,0.78,0.67,1.74,0.95,1.27,1.1,1.16,1.07,0.83,0.86,0.93,1.31
c_0,1.02,1.01,0.89,0.65,0.76,0.71,1.28,1.63,1.07,1.22,1.8,1.16,1.33,1.2,1.01,1.14
g_1,0.81,0.96,1.27,0.8,0.99,0.81,0.86,1.13,1.82,0.87,1.12,1.44,0.92,0.96,0.83,0.69
d_0,0.8,1.02,0.66,1.49,0.88,0.75,1.0,0.99,1.06,1.56,1.15,0.96,1.32,0.94,0.96,1.31
b_0,0.92,1.05,1.12,0.91,0.82,0.59,1.08,1.03,1.0,1.11,1.63,1.11,1.11,1.9,1.0,1.16
f_0,0.77,0.79,1.15,1.11,0.88,0.8,1.14,1.16,0.96,1.34,1.07,1.68,1.35,1.14,1.66,1.1
h_0,1.09,1.28,1.05,0.94,0.89,0.65,0.87,1.06,1.36,1.12,1.3,1.01,0.92,0.96,0.93,1.35
a_0,0.99,1.04,1.18,1.1,0.94,0.32,1.21,1.24,1.01,1.26,0.87,1.09,1.51,1.76,1.07,1.12
e_0,0.65,1.38,0.88,0.99,0.85,0.86,1.36,1.36,1.27,1.11,1.3,1.09,1.51,1.2,1.78,1.16
g_0,0.96,1.01,1.49,1.02,0.83,0.7,0.97,1.24,0.9,1.01,1.23,1.52,1.12,1.08,1.07,0.99
