,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.13,3.66,2.18,2.13,1.9,2.23,7.56,7.02,8.39,9.94,10.32,6.68,9.99,14.41,6.75,15.52
e_1,2.35,6.28,1.65,2.7,2.34,2.21,9.18,6.99,9.25,19.25,11.49,11.82,11.2,16.41,7.97,15.3
d_1,2.55,1.94,6.46,1.88,2.04,2.4,8.87,8.79,17.86,6.11,13.55,13.48,13.19,17.54,11.8,16.97
c_1,1.9,2.24,2.2,6.58,4.25,2.02,6.7,6.18,4.88,9.03,6.73,9.56,10.88,13.99,9.68,14.67
b_1,2.33,1.8,2.33,2.2,7.14,4.05,7.17,7.66,10.15,9.84,7.1,10.53,9.48,18.17,11.76,16.88
a_1,2.44,2.12,2.52,2.44,1.98,10.47,9.15,8.03,11.7,10.07,10.37,11.61,7.53,18.24,12.23,18.62
h_1,3.25,2.27,3.11,2.25,2.07,2.08,18.64,11.74,11.84,10.53,12.08,10.84,11.29,13.13,12.24,23.13
g_1,2.47,1.95,3.97,2.48,2.11,2.3,7.72,22.27,9.37,8.13,11.14,20.16,11.82,17.5,14.75,13.25
c_0,2.72,2.31,3.12,1.96,1.69,2.49,10.8,10.42,19.66,10.86,22.85,13.47,16.1,17.69,14.04,19.45
d_0,2.27,2.49,1.59,4.32,2.79,2.2,10.29,9.3,6.88,18.52,10.42,11.24,11.37,16.21,10.2,17.0
b_0,2.87,2.56,2.94,2.56,1.37,1.81,9.31,10.83,11.43,11.02,21.65,14.66,28.26,20.32,12.55,17.55
f_0,2.15,2.17,2.76,2.78,2.5,2.26,9.08,11.17,12.76,11.16,11.88,22.53,13.03,20.7,26.08,16.41
a_0,2.82,2.33,3.04,2.55,2.61,1.52,12.05,10.49,10.7,10.45,12.82,13.03,25.75,20.93,13.98,18.46
h_0,3.35,2.35,3.05,2.26,1.92,2.86,6.41,13.68,10.6,10.15,11.96,11.61,10.91,12.03,13.08,21.97
e_0,2.76,1.23,3.24,2.61,2.19,3.0,10.86,9.93,10.09,10.94,10.88,13.11,12.82,17.44,30.87,21.61
g_0,2.05,1.87,4.14,2.24,2.5,2.53,10.29,8.27,11.87,8.33,12.0,18.37,12.13,15.59,14.8,12.68
