,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.39,0.84,0.93,0.87,0.89,0.25,0.17,0.3,0.18,0.16,0.21,0.11,0.17,0.14,0.41
f_1,0.73,0.16,0.67,0.79,0.86,0.74,0.16,0.16,0.22,0.13,0.14,0.36,0.08,0.13,0.13,0.13
d_1,0.96,0.8,0.16,0.78,0.68,0.7,0.21,0.5,0.14,0.16,0.2,0.13,0.12,0.14,0.07,0.12
c_1,0.66,0.84,0.95,0.15,0.8,0.66,0.24,0.08,0.22,0.26,0.14,0.13,0.09,0.17,0.11,0.14
b_1,0.76,0.98,0.8,0.44,0.14,0.72,0.27,0.19,0.25,0.19,0.36,0.17,0.12,0.2,0.12,0.22
a_1,0.7,1.14,0.78,0.79,0.38,0.1,0.24,0.18,0.36,0.14,0.28,0.18,0.16,0.67,0.13,0.16
h_1,0.57,0.76,0.53,0.59,0.67,0.6,0.06,0.14,0.19,0.13,0.1,0.11,0.16,0.11,0.12,0.14
d_0,0.38,0.61,1.15,0.64,0.65,0.59,0.16,0.07,0.2,0.12,0.14,0.14,0.1,0.12,0.11,0.13
g_1,0.59,0.72,0.63,0.64,0.67,0.66,0.13,0.15,0.05,0.12,0.12,0.11,0.07,0.11,0.17,0.14
c_0,0.58,0.63,0.35,1.42,0.67,0.56,0.17,0.17,0.19,0.06,0.16,0.14,0.1,0.13,0.09,0.13
b_0,0.56,0.64,0.51,0.8,1.22,0.59,0.21,0.12,0.15,0.06,0.05,0.13,0.08,0.11,0.08,0.1
f_0,0.62,1.49,0.54,0.74,0.51,0.56,0.18,0.15,0.1,0.14,0.11,0.05,0.08,0.1,0.06,0.11
h_0,0.58,0.64,0.57,0.54,0.66,0.62,0.3,0.12,0.16,0.11,0.09,0.1,0.16,0.09,0.09,0.1
a_0,0.51,0.64,0.55,0.75,0.87,1.22,0.15,0.15,0.15,0.12,0.06,0.1,0.09,0.04,0.11,0.11
g_0,0.66,0.69,0.54,0.58,0.69,0.6,0.1,0.15,0.29,0.13,0.13,0.1,0.07,0.1,0.11,0.14
e_0,1.06,1.21,0.54,0.53,0.55,0.52,0.16,0.12,0.17,0.12,0.14,0.05,0.07,0.11,0.08,0.04
