,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.0,1.04,0.91,0.8,0.79,0.61,0.72,0.93,0.66,0.72,0.6,0.61,0.67,0.61
f_1,1.26,1.0,0.94,0.94,0.84,0.85,0.55,0.62,0.6,0.6,0.6,0.57,0.49,0.55,0.43,0.54
d_1,1.0,1.07,1.0,0.89,0.91,0.94,0.72,0.89,0.59,0.66,0.61,0.6,0.6,0.56,0.68,0.45
c_1,0.96,1.07,1.13,1.0,1.32,0.78,0.73,0.65,0.77,0.48,0.67,0.62,0.62,0.53,0.57,0.61
b_1,1.09,1.19,1.09,0.77,1.0,1.4,0.81,0.68,0.6,0.69,0.54,0.66,0.65,0.55,0.64,0.64
a_1,1.26,1.18,1.07,1.29,0.71,1.0,0.89,0.81,0.79,0.73,0.96,0.83,0.88,1.04,0.72,0.8
h_1,1.29,1.78,1.42,1.31,1.24,1.12,1.0,0.84,1.16,0.94,0.93,0.91,0.85,0.8,0.78,1.0
c_0,1.58,1.62,1.14,1.47,1.38,1.26,1.21,1.0,1.06,1.06,1.29,0.95,1.02,1.0,0.85,0.89
g_1,1.44,1.62,1.84,1.34,1.57,1.23,0.87,0.97,1.0,0.86,0.94,1.16,0.71,0.96,0.78,0.82
d_0,1.16,1.55,1.4,2.07,1.49,1.34,1.07,0.93,1.15,1.0,1.06,0.87,0.97,0.86,0.91,0.99
b_0,1.55,1.63,1.66,1.47,1.61,1.03,1.09,0.77,1.03,0.98,1.0,0.95,0.88,1.49,0.87,0.87
f_0,1.31,1.78,1.69,1.73,1.49,1.2,1.09,1.02,0.88,1.12,0.98,1.0,1.03,1.03,1.24,0.78
h_0,1.69,1.93,1.72,1.61,1.51,1.2,1.19,0.97,1.44,1.04,1.16,0.95,1.0,0.86,0.84,1.05
a_0,1.63,1.84,1.74,1.93,1.8,1.12,1.29,1.02,1.04,1.21,0.71,0.99,1.19,1.0,0.91,0.94
e_0,1.56,2.43,1.42,1.78,1.45,1.36,1.24,1.19,1.23,1.1,1.21,0.83,1.15,1.06,1.0,0.97
g_0,1.56,1.76,2.13,1.7,1.57,1.33,0.99,1.11,1.27,0.96,1.14,1.31,0.93,1.01,0.96,1.0
