,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,0.8,0.89,0.74,0.81,0.69,0.35,0.33,0.43,0.32,0.34,0.44,0.26,0.32,0.36,0.34
e_1,0.56,0.42,0.85,0.74,0.87,0.82,0.47,0.52,0.59,0.38,0.38,0.49,0.34,0.7,0.42,0.37
c_1,0.71,0.74,0.4,1.0,0.97,0.8,0.44,0.22,0.46,0.38,0.34,0.32,0.28,0.27,0.29,0.29
d_1,0.89,0.95,0.74,0.37,0.75,0.68,0.46,0.57,0.3,0.4,0.39,0.35,0.34,0.41,0.41,0.23
b_1,0.91,0.83,0.5,0.92,0.36,1.12,0.42,0.4,0.4,0.51,0.47,0.4,0.33,0.33,0.34,0.28
a_1,0.97,0.86,0.83,1.0,0.43,0.31,0.5,0.48,0.46,0.39,0.47,0.36,0.33,0.36,0.52,0.36
h_1,0.82,0.7,0.74,0.64,0.86,0.64,0.25,0.3,0.41,0.32,0.31,0.32,0.36,0.31,0.31,0.27
d_0,0.74,0.42,0.99,1.04,0.74,0.65,0.44,0.26,0.44,0.33,0.31,0.29,0.29,0.39,0.34,0.32
g_1,0.76,0.59,0.74,0.83,0.85,0.76,0.31,0.3,0.22,0.32,0.32,0.33,0.22,0.34,0.28,0.32
c_0,0.83,0.75,1.2,0.42,0.67,0.78,0.37,0.44,0.37,0.24,0.46,0.36,0.27,0.31,0.37,0.28
b_0,0.83,0.61,0.97,0.59,1.21,0.62,0.41,0.35,0.38,0.18,0.22,0.31,0.25,0.34,0.36,0.27
f_0,0.99,0.61,0.81,0.74,0.7,0.71,0.37,0.38,0.29,0.29,0.31,0.22,0.28,0.36,0.3,0.18
h_0,0.8,0.65,0.8,0.66,0.66,0.63,0.53,0.31,0.45,0.32,0.33,0.31,0.33,0.3,0.3,0.32
e_0,0.87,0.84,0.82,0.64,0.74,0.68,0.33,0.28,0.36,0.34,0.31,0.2,0.25,0.2,0.29,0.24
a_0,0.7,0.61,0.86,0.67,0.94,0.8,0.42,0.31,0.42,0.29,0.2,0.4,0.32,0.39,0.2,0.31
g_0,0.82,0.7,0.74,0.71,0.7,0.61,0.33,0.32,0.45,0.32,0.31,0.33,0.19,0.28,0.27,0.32
