,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,112.98,73.25,81.17,76.95,151.38,327.59,11906.59,16275.97,19680.62,35753.3,41221.6,43349.88,95847.67,118086.45,130552.39,139427.02
e_1,56.07,117.72,72.51,104.57,155.3,383.87,12286.23,31340.79,22101.99,21087.97,36382.05,38709.14,103048.57,102176.66,94681.22,137012.38
f_1,64.43,99.2,124.92,83.03,121.49,331.84,9586.27,20023.15,19798.22,20962.04,26766.1,33384.05,77384.98,102823.59,76617.7,117409.52
c_1,64.19,60.41,68.37,139.11,214.35,285.48,10493.0,16891.85,17228.21,15359.09,31785.89,26790.04,88772.73,92646.05,105995.34,151034.26
b_1,52.12,53.14,57.27,61.25,220.27,439.42,9484.36,13166.98,14685.87,18551.19,27423.45,27494.8,65593.81,68386.34,94569.15,126582.14
a_1,39.56,39.54,44.79,51.95,79.8,442.0,7507.61,12627.38,15069.71,15241.49,24682.87,26568.6,59882.91,51366.05,81664.47,80802.53
h_1,16.1,16.51,24.26,20.68,32.48,66.21,3872.19,4769.25,6495.39,5289.54,8121.27,8591.74,19008.08,27605.34,27205.73,37590.13
d_0,11.73,12.45,15.14,27.29,36.55,71.67,2417.7,5064.54,3770.98,3382.38,7150.95,6725.94,18463.69,18437.9,24512.64,28328.8
g_1,17.65,12.19,13.3,16.69,29.29,55.27,1860.7,4110.27,6315.94,4400.02,9313.55,7495.39,18267.51,25280.47,28595.92,23556.34
c_0,12.65,14.34,16.97,16.38,22.63,60.15,2519.94,4616.67,4270.65,5992.51,7174.6,12848.01,20284.68,25423.45,27427.91,31346.36
f_0,12.26,10.41,12.09,15.62,28.13,60.43,1926.26,3680.24,3413.04,3849.73,8315.59,6120.54,16586.28,19376.71,34645.61,21001.69
b_0,11.77,11.86,14.53,17.32,16.37,44.11,1907.5,3836.0,3306.01,3203.64,6427.94,8517.56,17000.1,33879.93,22083.75,23197.57
h_0,9.88,9.09,13.08,11.32,18.75,42.67,1268.23,2717.7,3047.55,2838.36,4601.41,4703.0,10639.33,13893.83,14816.38,21696.24
a_0,8.48,8.4,10.57,10.45,17.23,29.4,1476.13,2599.61,2318.77,2889.31,4673.86,3473.87,11588.81,18919.64,16651.95,16384.66
e_0,8.96,5.53,11.26,10.6,17.91,37.33,1486.78,2328.0,2183.47,2621.56,3585.46,4313.73,11841.43,13225.86,20387.8,16971.1
g_0,10.76,7.22,8.35,9.33,15.94,40.67,1205.72,2070.66,2107.16,2527.37,6105.71,4676.88,10124.04,12568.15,14080.1,15723.34
