,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.77,1.08,1.14,1.05,0.92,0.54,0.49,0.4,0.46,0.4,0.47,0.4,0.35,0.49,0.37
f_1,1.18,0.66,1.02,1.11,1.01,0.92,0.36,0.49,0.36,0.4,0.38,0.38,0.36,0.24,0.25,0.3
d_1,1.15,1.15,0.65,0.94,1.04,0.95,0.46,0.38,0.44,0.5,0.39,0.37,0.34,0.29,0.39,0.22
c_1,0.95,1.15,1.45,0.62,1.29,0.98,0.53,0.47,0.45,0.26,0.41,0.4,0.39,0.3,0.41,0.33
b_1,1.2,1.25,1.14,0.79,0.61,1.36,0.69,0.61,0.49,0.47,0.52,0.44,0.4,0.37,0.43,0.35
a_1,1.46,1.48,1.45,1.33,0.77,0.56,0.68,0.7,0.62,0.62,0.63,0.51,0.63,0.55,0.44,0.46
h_1,1.66,1.97,1.65,1.72,1.4,1.35,0.56,0.81,0.61,0.68,0.53,0.54,0.52,0.55,0.52,0.48
g_1,1.77,1.87,1.82,1.94,1.64,1.47,0.66,0.55,0.65,0.66,0.62,0.74,0.6,0.44,0.68,0.59
c_0,2.02,2.2,1.3,2.87,1.89,1.56,0.87,0.83,0.56,0.98,0.84,0.67,0.63,0.59,0.72,0.53
d_0,1.31,1.97,2.18,2.37,2.04,1.69,1.0,0.87,0.75,0.58,0.76,0.69,0.74,0.6,0.78,0.69
b_0,1.86,2.13,1.89,2.37,2.52,1.56,0.99,0.88,0.47,0.71,0.56,0.6,0.78,0.61,0.65,0.53
f_0,1.88,2.84,2.07,2.0,1.91,1.89,0.94,0.7,0.72,0.78,0.81,0.56,0.7,0.69,1.05,0.45
a_0,2.15,2.29,2.09,2.4,2.76,2.23,1.08,1.02,0.76,0.81,0.49,0.72,0.55,0.59,0.74,0.48
h_0,2.14,2.61,2.3,2.41,2.2,1.75,1.24,0.97,0.79,0.79,0.71,0.7,0.71,0.8,0.69,0.67
e_0,2.48,3.68,2.15,2.38,2.46,2.16,1.18,0.88,0.82,0.91,0.83,0.43,0.74,0.66,0.52,0.6
g_0,2.49,2.7,2.47,2.36,2.44,2.13,0.97,1.2,0.89,0.87,0.86,0.88,0.93,0.61,0.79,0.75
