,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.76,0.93,1.21,0.96,0.74,0.75,0.66,0.6,0.96,0.72,0.72,0.65,0.73,0.69,0.64
f_1,1.3,1.0,0.88,0.87,0.84,0.85,0.56,0.68,0.65,0.61,0.52,0.65,0.55,0.49,0.59,0.49
d_1,1.08,1.12,1.0,0.94,0.94,0.82,0.72,0.53,0.82,0.67,0.64,0.64,0.6,0.55,0.45,0.46
c_1,0.82,1.15,1.06,1.0,1.35,0.92,0.72,0.73,0.53,0.46,0.56,0.55,0.61,0.5,0.58,0.56
b_1,1.04,1.19,1.07,0.74,1.0,1.27,0.87,0.9,0.75,0.68,0.71,0.59,0.67,0.69,0.61,0.66
a_1,1.36,1.17,1.23,1.09,0.78,1.0,0.91,0.73,0.77,0.67,0.75,0.76,0.67,0.64,0.69,0.62
h_1,1.31,1.81,1.43,1.38,1.09,1.03,1.0,1.13,0.92,1.01,0.85,0.89,0.84,0.85,0.85,0.72
g_1,1.49,1.49,1.83,1.53,1.19,1.3,0.89,1.0,0.94,0.97,1.23,0.96,0.7,0.79,0.82,0.91
c_0,1.66,1.52,1.22,1.72,1.32,1.32,1.07,1.04,1.0,1.2,1.07,1.29,0.94,0.92,0.89,1.15
d_0,1.12,1.66,1.46,2.18,1.51,1.43,0.98,1.03,0.84,1.0,0.96,0.93,0.9,0.91,0.97,0.89
f_0,1.34,1.79,1.57,1.86,1.51,1.28,1.22,0.79,0.94,1.07,1.0,1.03,0.92,1.32,0.75,0.84
b_0,1.41,1.51,1.7,1.89,1.62,1.24,1.12,1.03,0.78,1.11,1.0,1.0,1.02,1.11,1.01,1.41
h_0,1.6,1.8,1.61,1.61,1.55,1.33,1.21,1.42,1.08,1.12,1.02,1.02,1.0,0.84,1.1,0.91
e_0,1.49,2.16,1.81,1.92,1.41,1.58,1.13,1.28,1.01,1.06,0.79,0.92,1.19,1.0,0.78,0.91
g_0,1.54,1.67,2.21,1.82,1.55,1.41,1.22,1.18,1.11,1.08,1.37,0.97,0.89,1.22,1.0,0.93
a_0,1.56,1.95,2.05,1.67,1.62,1.72,1.36,1.08,0.88,1.24,1.22,0.74,1.09,1.06,1.08,1.0
