,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.89,0.2,0.18,0.21,0.14,0.09,0.17,0.16,0.15,0.32,0.17,0.16,0.12,0.15,0.05,0.11
f_1,0.32,0.89,0.19,0.16,0.14,0.09,0.17,0.12,0.14,0.14,0.14,0.04,0.11,0.14,0.06,0.1
d_1,0.19,0.23,0.89,0.11,0.15,0.1,0.2,0.17,0.31,0.06,0.17,0.15,0.12,0.16,0.1,0.14
c_1,0.2,0.18,0.19,0.88,0.27,0.09,0.17,0.13,0.04,0.17,0.14,0.13,0.1,0.13,0.09,0.14
b_1,0.2,0.2,0.21,0.13,0.88,0.21,0.17,0.14,0.14,0.13,0.04,0.13,0.07,0.16,0.1,0.12
a_1,0.2,0.21,0.17,0.18,0.13,0.87,0.2,0.16,0.2,0.15,0.14,0.16,0.06,0.17,0.09,0.13
h_1,0.2,0.34,0.24,0.2,0.13,0.12,0.57,0.26,0.21,0.17,0.17,0.17,0.15,0.09,0.12,0.17
g_1,0.24,0.21,0.36,0.21,0.14,0.11,0.19,0.56,0.21,0.2,0.16,0.24,0.12,0.19,0.15,0.1
c_0,0.23,0.28,0.28,0.12,0.17,0.09,0.22,0.22,0.44,0.2,0.34,0.22,0.16,0.21,0.15,0.16
d_0,0.25,0.21,0.11,0.45,0.16,0.09,0.19,0.2,0.14,0.43,0.18,0.18,0.13,0.22,0.11,0.16
b_0,0.24,0.28,0.27,0.22,0.08,0.08,0.28,0.22,0.19,0.17,0.42,0.18,0.35,0.24,0.14,0.18
f_0,0.2,0.16,0.25,0.21,0.18,0.12,0.26,0.19,0.23,0.22,0.25,0.39,0.18,0.24,0.29,0.19
a_0,0.24,0.28,0.28,0.2,0.18,0.06,0.23,0.2,0.23,0.18,0.18,0.2,0.38,0.24,0.13,0.13
h_0,0.21,0.37,0.29,0.2,0.18,0.09,0.14,0.23,0.21,0.2,0.17,0.14,0.16,0.1,0.15,0.19
e_0,0.12,0.36,0.23,0.2,0.18,0.16,0.26,0.16,0.22,0.17,0.19,0.13,0.14,0.23,0.4,0.19
g_0,0.18,0.22,0.36,0.2,0.2,0.09,0.24,0.15,0.23,0.14,0.21,0.28,0.19,0.21,0.1,0.1
