,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.79,0.92,1.18,0.95,0.82,0.72,0.67,0.59,0.87,0.71,0.68,0.62,0.64,0.68,0.61
f_1,1.26,1.0,0.89,0.92,0.87,0.78,0.56,0.68,0.64,0.65,0.6,0.63,0.52,0.46,0.57,0.51
d_1,1.1,1.1,1.0,0.98,0.87,0.78,0.75,0.54,0.8,0.67,0.66,0.65,0.61,0.59,0.48,0.52
c_1,0.83,1.1,1.04,1.0,1.36,0.92,0.72,0.68,0.58,0.48,0.57,0.53,0.63,0.52,0.56,0.58
b_1,1.04,1.14,1.14,0.74,1.0,1.31,0.88,0.83,0.79,0.66,0.66,0.62,0.67,0.71,0.63,0.56
a_1,1.23,1.26,1.29,1.08,0.76,1.0,0.86,0.8,0.76,0.75,0.77,0.81,0.73,0.61,0.66,0.67
h_1,1.43,1.68,1.38,1.35,1.13,1.17,1.0,1.15,0.94,0.94,0.84,0.88,0.91,0.82,0.86,0.71
g_1,1.5,1.49,1.78,1.47,1.2,1.23,0.91,1.0,1.0,0.96,1.18,0.94,0.71,0.86,0.93,0.88
c_0,1.62,1.59,1.27,1.71,1.25,1.32,1.09,1.02,1.0,1.27,1.02,1.35,0.91,0.92,0.82,1.13
d_0,1.18,1.6,1.48,2.06,1.58,1.34,1.07,1.0,0.77,1.0,0.97,0.93,0.88,1.0,0.96,0.87
f_0,1.36,1.74,1.5,1.72,1.54,1.31,1.2,0.82,0.95,1.05,1.0,1.05,0.94,1.31,0.75,0.85
b_0,1.51,1.57,1.52,1.95,1.61,1.23,1.11,1.09,0.76,1.14,0.99,1.0,0.98,0.99,0.87,1.35
h_0,1.6,1.89,1.64,1.64,1.52,1.31,1.13,1.38,1.08,1.09,1.01,1.03,1.0,0.9,1.14,0.95
e_0,1.57,2.31,1.61,1.86,1.41,1.56,1.23,1.2,0.99,0.99,0.79,1.03,1.12,1.0,0.83,0.93
g_0,1.52,1.8,2.06,1.78,1.66,1.49,1.19,1.11,1.19,1.05,1.33,1.09,0.87,1.15,1.0,0.98
a_0,1.65,1.83,1.92,1.79,1.85,1.58,1.37,1.15,0.89,1.22,1.21,0.76,1.02,1.14,1.02,1.0
