,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.89,0.21,0.15,0.12,0.15,0.13,0.15,0.14,0.09,0.33,0.19,0.16,0.19,0.12,0.14,0.11
f_1,0.18,0.89,0.35,0.16,0.12,0.07,0.16,0.13,0.16,0.15,0.14,0.05,0.16,0.1,0.14,0.05
e_1,0.18,0.2,0.89,0.18,0.16,0.1,0.17,0.11,0.31,0.18,0.16,0.13,0.15,0.11,0.12,0.04
c_1,0.19,0.17,0.17,0.88,0.27,0.09,0.18,0.15,0.17,0.05,0.11,0.15,0.16,0.1,0.11,0.09
b_1,0.21,0.18,0.19,0.17,0.88,0.19,0.13,0.13,0.15,0.14,0.06,0.16,0.15,0.1,0.14,0.1
a_1,0.22,0.19,0.18,0.17,0.14,0.88,0.18,0.16,0.16,0.17,0.18,0.15,0.15,0.05,0.14,0.11
h_1,0.25,0.34,0.19,0.21,0.15,0.1,0.55,0.25,0.21,0.19,0.17,0.14,0.12,0.15,0.2,0.12
g_1,0.39,0.21,0.21,0.22,0.16,0.1,0.19,0.56,0.17,0.2,0.18,0.22,0.2,0.11,0.06,0.12
d_0,0.14,0.23,0.23,0.39,0.17,0.11,0.22,0.17,0.43,0.16,0.21,0.14,0.21,0.11,0.15,0.15
c_0,0.28,0.28,0.21,0.11,0.16,0.13,0.25,0.16,0.22,0.4,0.38,0.17,0.23,0.17,0.15,0.16
b_0,0.28,0.29,0.22,0.21,0.08,0.11,0.23,0.18,0.19,0.21,0.43,0.14,0.25,0.25,0.2,0.1
f_0,0.29,0.16,0.21,0.18,0.18,0.13,0.2,0.18,0.23,0.23,0.21,0.41,0.21,0.18,0.19,0.3
h_0,0.27,0.4,0.25,0.18,0.16,0.1,0.11,0.22,0.18,0.21,0.21,0.15,0.11,0.14,0.22,0.09
a_0,0.23,0.29,0.25,0.23,0.16,0.04,0.22,0.16,0.25,0.25,0.22,0.17,0.24,0.38,0.17,0.11
g_0,0.4,0.19,0.23,0.23,0.17,0.11,0.17,0.11,0.17,0.22,0.21,0.28,0.21,0.14,0.12,0.12
e_0,0.32,0.28,0.12,0.18,0.19,0.12,0.2,0.19,0.18,0.2,0.23,0.16,0.26,0.13,0.15,0.37
