,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.4,1.0,1.13,1.38,1.11,1.14,2.25,3.84,1.92,2.3,2.56,2.76,3.3,2.19,3.41,1.88
f_1,1.71,2.46,1.13,1.04,1.02,0.83,1.94,2.36,2.11,2.33,2.59,1.38,3.1,2.29,3.06,1.84
d_1,1.17,1.24,2.51,0.98,1.02,1.05,2.22,1.4,2.38,3.91,2.46,2.6,2.9,2.94,2.66,2.38
c_1,0.9,1.19,1.06,2.61,1.91,0.98,2.31,2.24,1.98,1.53,2.26,2.12,3.03,2.51,2.8,2.36
b_1,1.01,1.11,1.16,1.01,2.77,2.03,2.26,2.59,1.99,2.56,1.69,2.69,2.53,2.31,2.48,3.28
a_1,1.14,1.47,1.04,1.32,0.93,3.22,2.02,2.49,2.31,2.17,2.11,2.32,3.09,1.51,3.31,2.47
h_1,1.18,1.55,1.31,1.09,1.02,1.31,4.13,2.64,3.0,2.56,2.78,2.72,2.69,2.46,4.77,3.13
d_0,1.07,1.26,0.88,2.13,1.36,1.13,2.46,3.85,2.25,2.0,2.52,2.71,3.69,3.06,3.54,3.08
g_1,1.16,1.15,1.72,1.23,1.23,0.89,2.14,2.53,4.58,2.56,2.88,3.47,3.27,2.94,2.2,2.92
c_0,1.21,1.38,1.13,1.0,0.98,1.39,2.87,2.46,2.5,4.09,4.63,3.25,3.96,3.37,3.96,3.53
b_0,1.22,1.18,1.38,1.33,0.8,1.16,2.57,3.03,2.23,2.21,4.24,3.06,3.64,4.97,3.93,3.06
f_0,1.04,1.09,1.29,1.46,1.3,1.34,2.45,2.83,2.36,2.35,2.82,4.3,3.48,3.02,3.44,4.86
h_0,1.19,1.49,1.34,1.35,1.29,0.92,1.63,2.58,3.11,2.45,2.93,2.69,2.43,2.6,3.9,2.86
a_0,1.29,1.48,1.23,1.36,1.33,0.53,2.65,2.57,2.71,2.4,2.66,3.05,4.23,4.97,3.13,2.97
g_0,1.15,1.03,1.89,1.32,1.27,1.17,1.9,2.43,2.07,2.14,2.46,3.77,2.92,2.83,2.88,3.69
e_0,0.78,1.35,1.39,1.69,1.27,1.43,2.18,2.38,2.35,2.38,2.73,2.61,3.5,2.71,2.96,5.07
