,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.77,0.39,0.35,0.43,0.38,0.38,0.75,0.6,1.66,0.82,0.88,0.98,0.94,0.93,0.24,0.74
f_1,0.67,3.8,0.37,0.46,0.34,0.3,0.56,0.65,0.7,0.8,0.9,0.21,0.81,0.96,0.74,0.91
d_1,0.37,0.45,4.21,0.28,0.36,0.41,0.99,0.86,0.23,1.53,0.93,0.74,1.02,0.8,0.72,0.85
c_1,0.38,0.36,0.41,4.39,0.76,0.39,0.57,0.68,0.86,0.18,0.64,0.78,0.91,0.64,0.9,0.91
b_1,0.38,0.38,0.39,0.45,4.75,0.71,0.76,0.86,0.75,0.74,0.11,0.7,0.89,0.79,0.85,0.8
a_1,0.39,0.4,0.43,0.29,0.41,6.93,0.78,0.88,0.74,0.84,0.78,1.17,0.81,0.18,0.79,0.76
h_1,0.55,0.99,0.84,0.77,0.59,0.54,5.25,1.44,0.95,1.14,1.27,1.16,0.51,1.12,1.68,2.17
g_1,0.63,0.54,1.1,0.57,0.61,0.81,1.01,6.09,0.91,1.52,1.53,2.3,1.38,0.99,1.45,0.63
d_0,0.65,0.77,0.3,1.32,0.62,0.61,1.37,0.94,3.79,1.14,1.31,1.61,1.51,1.48,1.93,1.67
c_0,0.75,0.8,0.79,0.26,0.58,0.61,1.82,1.4,1.53,3.91,3.13,2.03,1.56,1.6,1.43,1.54
b_0,0.74,0.84,0.73,0.74,0.28,0.46,1.38,1.44,1.46,1.4,4.86,1.55,2.0,3.23,1.96,1.99
f_0,0.63,0.27,0.81,0.95,0.69,0.78,1.47,1.43,1.38,1.27,2.19,4.77,1.44,1.23,3.52,1.52
h_0,0.55,1.18,0.65,0.64,0.64,0.71,0.47,1.58,1.42,1.14,1.1,1.69,0.62,1.07,1.15,1.88
a_0,0.64,0.88,0.77,0.98,0.65,,1.54,0.9,1.29,1.34,1.39,1.03,1.85,6.51,1.35,1.92
e_0,0.26,0.58,0.91,1.02,0.72,0.61,2.19,1.67,1.16,1.73,1.41,1.91,1.69,1.34,7.0,1.55
g_0,0.65,0.74,1.12,0.5,0.78,0.64,1.05,0.47,1.11,1.31,1.18,1.61,1.33,1.42,1.34,0.75
