,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.93,0.07,0.09,0.1,0.09,0.04,0.09,0.11,0.06,0.07,0.06,0.06,0.06,0.05,,0.05
d_1,0.12,0.93,0.12,0.09,0.09,0.06,0.07,,0.05,0.09,0.05,0.07,0.05,0.05,0.05,0.06
f_1,0.15,0.1,0.93,0.1,0.09,0.07,0.06,0.08,0.05,0.06,0.07,,0.06,0.06,0.04,0.05
c_1,0.11,0.11,0.1,0.93,0.16,0.07,0.08,0.07,0.06,,0.05,0.05,0.05,0.04,0.05,0.07
b_1,0.11,0.12,0.12,0.08,0.93,0.12,0.08,0.07,0.08,0.08,,0.06,0.07,0.04,0.05,0.05
a_1,0.19,0.13,0.12,0.14,0.07,0.93,0.07,0.06,0.08,0.08,,0.05,0.08,,,0.05
h_1,0.28,0.3,0.4,0.27,0.23,0.2,0.71,0.18,0.22,0.17,0.18,0.16,,0.12,0.11,0.11
d_0,0.35,,0.34,0.5,0.28,0.28,0.29,0.58,0.18,0.21,0.22,0.16,0.22,0.14,0.1,0.16
g_1,0.28,0.46,0.28,0.31,0.22,0.2,0.16,0.2,0.71,0.17,0.16,0.24,0.13,0.13,0.14,
c_0,0.31,0.37,0.43,,0.29,0.21,0.24,0.23,0.25,0.57,0.27,0.21,0.26,0.11,0.11,0.16
b_0,0.43,0.39,0.32,0.39,,,0.29,0.22,0.19,0.24,0.57,0.21,0.23,0.29,0.11,0.17
f_0,0.42,0.34,,0.35,0.32,0.27,0.25,0.26,0.2,0.28,0.22,0.57,0.18,0.18,0.25,0.15
h_0,0.52,0.59,0.53,0.45,0.36,0.37,,0.34,0.37,0.19,0.25,0.24,,0.21,0.21,0.35
a_0,0.44,0.39,0.33,0.49,0.3,,0.28,0.31,0.23,0.34,0.15,0.22,0.31,0.56,,
e_0,,0.35,0.45,0.29,0.3,,0.33,0.42,0.22,0.31,0.3,0.17,0.22,,0.58,0.22
g_0,0.44,0.63,0.48,0.39,0.46,0.33,0.4,0.32,,0.4,0.31,0.3,0.28,,0.22,
