,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.73,1.27,1.03,1.11,0.92,0.53,0.52,0.38,0.49,0.42,0.47,0.38,0.33,0.43,0.34
f_1,1.15,0.65,1.06,1.0,1.04,0.97,0.37,0.41,0.37,0.51,0.39,0.41,0.34,0.26,0.31,0.32
c_1,0.9,1.18,0.64,1.38,1.1,0.95,0.54,0.27,0.47,0.47,0.41,0.39,0.35,0.33,0.4,0.33
d_1,1.23,1.29,0.99,0.64,1.04,0.94,0.49,0.5,0.45,0.37,0.41,0.42,0.38,0.32,0.33,0.21
b_1,1.15,1.25,0.8,1.21,0.63,1.25,0.53,0.42,0.53,0.48,0.46,0.39,0.41,0.37,0.37,0.36
a_1,1.44,1.43,1.4,1.39,0.88,0.57,0.66,0.62,0.5,0.66,0.49,0.49,0.6,0.44,0.53,0.43
h_1,1.81,2.09,1.87,1.6,1.64,1.33,0.54,0.72,0.58,0.87,0.66,0.62,0.56,0.65,0.52,0.51
d_0,1.22,1.76,2.53,2.37,1.99,1.52,0.86,0.57,0.67,1.06,0.65,0.61,0.59,0.58,0.62,0.59
c_0,2.16,2.12,2.64,1.27,1.94,1.86,0.92,0.92,0.56,0.89,0.78,0.76,0.6,0.55,0.55,0.47
g_1,2.07,2.28,1.95,2.09,2.03,1.65,0.69,0.68,0.66,0.52,0.67,0.72,0.63,0.45,0.64,0.64
b_0,2.17,2.09,2.48,1.67,2.36,2.11,0.87,0.98,0.48,0.91,0.54,0.7,0.78,0.55,0.68,0.62
f_0,1.81,2.55,2.06,2.06,2.26,1.87,1.03,0.83,0.66,0.67,0.73,0.54,0.74,0.63,0.86,0.41
a_0,2.16,2.32,2.91,2.12,2.64,1.99,1.02,0.97,0.73,1.03,0.51,0.8,0.54,0.7,0.7,0.69
h_0,2.12,2.6,2.31,2.06,2.17,2.09,1.22,0.83,0.85,1.08,0.8,0.71,0.75,0.71,0.7,0.76
e_0,2.76,3.06,2.41,2.11,2.42,1.79,1.07,0.94,0.88,0.88,0.85,0.51,0.81,0.67,0.55,0.7
g_0,2.37,2.41,2.48,2.87,2.24,1.89,1.0,0.96,0.95,1.3,0.82,1.0,0.81,0.53,0.69,0.73
