,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.4,2.19,1.28,1.5,1.39,1.33,2.71,2.95,2.87,3.33,3.22,2.27,3.29,3.8,2.65,3.87
e_1,1.39,2.47,1.45,1.82,1.41,1.47,2.96,3.19,3.21,5.24,3.43,3.49,3.59,4.17,2.88,3.94
d_1,1.67,1.45,2.5,1.41,1.4,1.46,2.78,2.59,4.89,2.35,3.73,3.19,3.37,3.96,3.48,3.7
c_1,1.49,1.25,1.48,2.64,2.4,1.5,2.83,2.77,2.22,2.55,2.7,3.56,3.18,3.89,3.15,4.05
b_1,1.59,1.45,1.58,1.25,2.77,2.42,2.99,2.89,3.27,2.87,2.45,3.4,2.58,3.87,3.24,3.78
a_1,1.52,1.4,1.64,1.65,1.36,3.37,2.99,2.62,3.12,3.07,3.26,3.21,2.92,4.18,3.71,4.67
h_1,1.84,1.51,1.65,1.53,1.48,1.47,4.07,3.49,2.85,3.15,3.23,3.58,3.76,4.1,3.29,5.27
g_1,1.33,1.37,2.12,1.56,1.4,1.5,2.87,4.62,3.7,3.16,3.31,4.63,3.46,4.41,3.97,4.08
c_0,1.79,1.62,1.4,1.42,1.35,1.58,3.38,2.85,4.31,3.78,5.76,3.5,4.27,4.27,3.85,4.83
d_0,1.51,1.21,1.51,2.51,1.63,1.5,3.02,3.01,2.43,4.31,3.01,3.56,3.41,4.52,3.54,3.92
b_0,1.66,1.52,1.46,1.92,1.4,1.16,3.46,3.08,2.72,3.74,4.63,3.32,5.98,4.89,4.22,4.73
f_0,1.67,1.38,1.71,1.58,1.56,1.55,3.08,2.84,3.12,3.49,3.69,4.74,3.58,4.63,6.31,3.97
a_0,1.59,1.51,1.68,1.77,1.71,1.09,3.13,3.19,3.24,3.46,2.9,3.31,5.02,5.1,3.71,4.63
h_0,1.83,1.46,1.71,1.56,1.65,1.42,2.59,3.49,3.34,3.11,2.99,3.37,3.29,3.29,3.41,5.15
e_0,1.97,1.32,1.65,1.6,1.63,1.16,3.39,2.81,3.45,3.23,3.27,2.87,3.72,5.12,5.45,4.1
g_0,1.48,1.37,2.03,1.56,1.69,1.43,2.62,2.35,3.22,2.98,3.12,4.63,3.83,4.05,4.09,4.0
