,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.27,0.23,0.17,0.26,0.19,0.17,0.45,0.99,0.3,0.42,0.46,0.55,0.52,0.18,0.33,0.43
f_1,0.55,2.32,0.2,0.14,0.14,0.15,0.36,0.38,0.34,0.58,0.1,0.34,0.58,0.25,0.45,0.41
d_1,0.18,0.27,2.39,0.19,0.21,0.16,0.41,0.11,0.42,0.95,0.48,0.42,0.53,0.37,0.29,0.52
c_1,0.16,0.19,0.22,2.38,0.44,0.17,0.43,0.49,0.3,0.08,0.49,0.33,0.67,0.34,0.32,0.58
b_1,0.22,0.21,0.23,0.23,2.53,0.32,0.4,0.48,0.3,0.39,0.49,0.15,0.57,0.4,0.29,0.56
a_1,0.21,0.27,0.25,0.22,0.16,3.0,0.34,0.55,0.37,0.33,0.39,0.43,0.72,0.43,0.09,0.47
h_1,0.27,0.52,0.4,0.45,0.33,0.25,2.83,0.81,0.86,0.74,0.68,0.74,0.42,0.67,0.71,1.28
d_0,0.39,0.32,0.15,0.8,0.35,0.25,0.78,2.11,0.7,0.68,0.91,0.99,0.82,0.75,0.84,0.87
g_1,0.33,0.35,0.56,0.42,0.33,0.27,0.62,0.57,3.11,0.71,1.31,0.68,0.94,0.74,0.75,0.34
c_0,0.48,0.46,0.49,0.15,0.26,0.28,0.81,0.89,0.62,2.42,0.92,1.48,1.01,0.6,0.74,1.19
f_0,0.34,0.13,0.44,0.47,0.4,0.37,0.73,1.0,0.83,0.7,2.48,0.94,1.1,1.37,0.91,0.96
b_0,0.34,0.6,0.39,0.42,0.11,0.17,0.8,1.03,0.76,0.86,0.78,2.61,1.02,0.8,1.59,1.08
h_0,0.35,0.56,0.41,0.4,0.32,0.29,0.4,0.94,0.87,0.87,0.89,0.77,0.33,0.67,0.61,1.09
e_0,0.17,0.51,0.4,0.46,0.39,0.3,0.87,0.99,0.85,0.86,0.72,0.8,1.61,2.89,0.96,1.34
a_0,0.47,0.4,0.4,0.45,0.35,0.1,0.94,0.88,0.86,0.98,0.83,0.82,0.96,0.47,2.67,1.0
g_0,0.28,0.33,0.69,0.34,0.34,0.25,0.69,0.78,0.4,0.94,1.24,0.77,1.05,0.73,0.84,0.45
