,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,9037.8,6066.04,6673.91,8557.16,10431.89,38872.4,4501719.88,13160364.0,13062288.9,23617376.09,44004841.72,31658251.34,213889018.89,150994225.67,222793523.21,431057805.71
e_1,4086.27,9609.12,6898.86,7450.27,11430.15,40037.18,4829498.01,22395991.94,16585142.71,25134286.57,51003265.09,59448704.38,250462709.79,137363875.66,245277667.41,525099898.67
c_1,3352.35,3514.86,17345.9,9494.94,22422.7,49277.61,4514915.91,10728618.89,14299814.9,11569529.0,31757345.28,48167781.01,195105837.85,196921829.29,173498443.93,528571776.61
d_1,3763.17,3760.69,4697.7,30982.6,11008.23,36706.56,5420166.41,7958199.84,14816864.25,51560084.44,57095011.43,53730212.74,241735267.64,231653227.07,243447373.65,579359348.7
b_1,3315.14,3291.62,5895.53,9709.78,41710.54,95280.16,3995442.34,12061696.51,12100540.72,24541909.83,26992148.85,55793536.35,251821146.93,235626541.84,158163420.71,541243049.89
a_1,3979.28,3489.88,5919.49,10104.76,11147.82,208206.29,5030156.08,12178025.95,14548177.29,22300308.42,49988681.6,61028957.17,287509008.79,242842476.72,172939759.9,642499516.52
h_1,5100.59,3838.38,6637.09,10466.48,13423.39,40900.44,10298074.5,12645035.0,20258602.03,28197932.96,47157711.91,61451104.1,171880926.55,268021977.01,211999897.46,736955692.69
d_0,4422.02,3546.57,11782.04,7254.46,13762.19,38442.99,5674184.43,21801391.53,17728895.43,19044737.01,48356765.41,50719086.32,263951850.47,245188235.45,250104920.44,594418574.64
g_1,3872.29,3094.37,6443.79,16790.26,13800.78,45748.45,5487436.17,11051243.01,40094605.11,30042189.6,49720269.3,91933384.85,239533320.78,263245755.6,225233739.78,502499531.21
c_0,4581.44,4185.62,5502.57,11294.67,9121.18,44780.91,5631179.12,13335407.28,17820796.33,49200168.39,102637725.68,65718522.56,252946637.49,232462763.39,319694326.1,572903972.25
b_0,4881.14,4262.28,6864.71,11547.16,10204.96,36209.69,5899765.23,15149678.48,17806393.41,28334288.27,94411790.48,61184349.03,257737863.67,253065446.96,505552282.65,643082595.03
f_0,3178.68,3084.2,7925.87,11377.01,14353.72,54114.93,5534556.47,15060785.63,18186753.28,26650694.09,56244460.66,117618063.35,277931582.76,506572790.39,190231854.26,691434379.7
h_0,5036.59,3795.77,7439.35,10339.11,14825.1,43717.09,4134542.92,12454507.11,20411865.72,28104158.65,51495772.64,53736087.64,184371142.24,249982175.35,204679015.7,794059342.97
e_0,4494.85,2721.22,8412.29,10403.27,14821.81,56643.76,6823125.48,11710609.97,16547324.13,27914611.58,43887000.49,66902077.85,274624623.15,523391642.0,223981549.36,673431748.8
a_0,4324.18,4156.2,7495.24,9109.53,14210.47,34491.95,5619323.53,14858050.47,19855583.39,27137558.01,53571000.4,62953314.55,307676354.71,267936696.23,555526061.34,680872983.59
g_0,3101.9,3464.52,7025.26,15433.28,14400.76,44873.62,5512723.9,12939622.63,13733153.36,28691721.65,54723674.48,100823103.09,252970395.04,288669892.97,231780906.88,505341046.42
