,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.51,1.31,1.34,1.46,1.27,0.51,0.45,0.67,0.43,0.44,0.69,0.31,0.42,0.43,0.43
e_1,0.94,0.66,1.43,1.7,1.54,1.48,0.72,0.53,0.71,0.64,0.48,0.58,0.49,0.5,0.74,0.45
d_1,1.64,1.68,0.64,1.27,1.33,1.18,0.62,0.58,0.41,1.09,0.52,0.54,0.42,0.49,0.53,0.28
c_1,1.48,1.25,1.95,0.64,1.67,1.04,0.7,0.61,0.67,0.32,0.47,0.49,0.46,0.48,0.43,0.4
b_1,1.55,1.52,1.5,0.94,0.63,1.97,0.65,0.63,0.77,0.57,0.85,0.49,0.47,0.51,0.49,0.47
a_1,1.93,1.91,1.74,2.52,0.97,0.57,0.85,0.79,0.87,0.64,0.95,0.64,0.57,1.35,0.74,0.62
h_1,2.41,2.02,1.98,2.33,1.96,1.77,0.58,0.78,1.12,0.9,1.07,0.8,0.92,0.69,0.68,0.67
c_0,2.83,2.32,1.45,4.4,2.4,1.91,1.17,0.61,0.87,0.95,1.06,0.91,0.68,0.89,0.81,0.68
g_1,2.42,2.06,2.71,2.48,2.39,2.03,0.91,1.16,0.55,0.9,0.75,0.99,0.59,1.05,0.78,1.21
d_0,2.95,1.49,2.68,3.23,2.6,2.27,1.14,0.93,1.24,0.64,0.86,0.76,0.65,0.79,0.76,0.78
b_0,2.76,2.51,2.08,3.31,3.3,2.14,0.95,0.58,1.33,0.95,0.6,0.93,0.69,1.13,0.9,0.91
f_0,4.35,2.4,2.09,2.41,2.58,2.43,1.28,0.92,0.78,0.92,1.0,0.61,0.85,0.92,1.3,0.5
h_0,2.97,2.54,2.58,3.03,2.52,2.36,1.47,1.11,1.25,1.11,0.93,0.92,1.02,1.01,0.95,0.99
a_0,3.47,2.78,2.8,2.54,3.44,3.29,1.4,1.0,1.15,1.01,0.57,0.91,0.83,0.58,0.98,0.9
e_0,3.85,3.87,2.54,2.97,2.76,2.96,1.35,0.97,1.3,1.24,0.94,0.53,0.88,0.9,0.56,0.9
g_0,3.62,2.84,3.06,3.06,2.57,2.47,1.05,1.2,1.45,1.06,0.98,1.33,0.6,0.97,0.84,1.04
