,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8531.52,1229.58,1409.76,2814.73,4872.7,9993.92,1535277.97,3680596.08,2860623.35,11920976.49,6728104.32,8978687.41,43942802.58,25768158.48,9572324.53,80071106.17
f_1,1736.38,11221.88,1492.54,2454.7,4110.09,11437.44,1318992.91,3675563.1,2352300.95,4882177.14,7289771.79,1252460.68,35325348.31,24833086.05,30551159.43,68447176.09
d_1,810.2,1165.29,14480.14,2904.57,4417.54,12534.45,1552260.19,7542853.99,4174784.9,1357467.26,6397210.79,10104347.25,39868423.35,25976190.64,46577843.64,61205730.64
c_1,995.17,1141.29,1336.66,33346.07,9301.31,8630.04,1346876.85,634947.22,4238822.9,4866313.78,5725273.12,11691785.04,36416680.19,22629865.89,38924476.9,84794415.27
b_1,857.84,1194.98,1469.71,2855.81,69276.92,20592.9,1700001.49,3243954.99,3012061.65,5236707.62,1124790.01,10955773.52,42575336.3,23657737.11,36420179.81,69038446.62
a_1,1003.47,954.92,1360.14,2908.2,4173.64,187032.61,1609187.03,3610758.49,4197669.28,3838418.61,8087643.1,13139447.49,35559663.78,,49064026.97,75146507.01
h_1,1271.32,2933.65,2286.93,4838.28,7237.11,15405.12,10239601.71,6177122.71,9811151.09,9286335.07,14101723.03,20258301.86,29207698.32,42908010.97,87547838.92,154540060.92
c_0,1699.4,2098.52,2660.62,1417.32,7505.92,18091.48,3537777.39,18476964.12,8538200.41,9858255.39,28533096.73,21601964.74,78834081.29,72660004.94,95844038.9,159623772.58
g_1,1093.26,1799.92,3571.03,4104.93,12544.33,22114.91,2481762.24,6316910.81,33525235.65,8168535.48,13728784.9,24285845.21,52534913.38,38937418.91,62047793.78,37033924.51
d_0,1468.66,2479.35,895.74,10309.9,8034.99,15331.76,2089238.62,6253153.17,7108584.99,25784159.81,14069872.73,18314709.24,78106102.08,46555609.57,69001213.77,175311435.01
b_0,1448.12,2318.64,3073.32,4659.62,5517.4,11688.57,2638554.38,8287036.46,7449416.48,9726757.76,37139191.35,22956543.39,54798654.59,121920383.48,89143870.56,144049918.53
f_0,1264.95,713.48,2702.4,5706.59,9610.36,24751.82,2881016.14,7938820.34,8363083.02,12304316.5,12288479.37,58305843.58,69513269.47,56915281.25,160132546.56,144703983.02
h_0,1665.83,2880.61,2552.97,5128.36,9429.68,12223.5,1154871.46,5395994.43,8834904.22,7859656.91,13760057.76,17566973.61,17798732.24,40245680.71,67481824.86,151124443.0
a_0,1742.0,2341.34,2906.29,5754.76,9050.59,,2397857.78,7584689.89,5753390.71,11674751.4,13111241.33,15787978.87,81580964.15,201236892.41,86928784.49,129624873.32
e_0,523.69,2548.19,2360.55,4782.01,7533.26,22507.5,3690453.89,8118280.52,9431651.97,10295279.5,16445999.24,21657212.74,92424810.69,62987001.18,332033522.34,148839302.01
g_0,1347.65,2111.63,3841.26,4963.71,7766.66,11633.86,1955240.48,6804802.3,3101577.73,9935064.29,14786137.78,24997395.52,67495903.83,52233122.93,85005799.47,69393803.57
