,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.42,1.75,1.08,1.1,1.06,0.97,1.78,2.37,1.88,1.78,2.37,1.65,2.55,2.71,3.21,2.49
e_1,1.01,2.43,0.98,1.53,1.12,0.96,2.43,3.86,2.31,2.6,2.57,2.73,2.86,2.62,3.29,1.87
d_1,1.25,1.14,2.52,0.84,1.08,1.26,2.1,1.69,1.83,3.92,2.82,2.63,3.44,2.31,2.78,2.49
c_1,1.18,0.96,1.19,2.57,1.75,1.12,1.92,1.89,2.36,1.1,1.99,2.72,3.5,2.67,2.62,2.61
b_1,1.11,1.01,1.19,1.08,2.76,1.9,2.12,2.28,2.33,2.46,1.41,2.42,2.84,1.98,3.18,2.64
a_1,1.22,1.17,1.23,1.18,0.88,3.35,2.6,2.6,2.28,2.54,3.13,2.59,3.35,1.93,2.7,2.4
h_1,1.67,1.08,1.24,1.38,1.23,1.07,3.87,2.65,3.08,2.72,2.43,2.31,2.45,2.43,4.43,2.42
d_0,1.3,1.08,0.82,2.16,1.15,1.1,2.48,3.88,2.15,2.45,2.55,3.1,3.6,2.63,3.88,2.89
g_1,1.46,1.09,1.8,1.18,1.1,1.18,2.09,2.3,4.47,2.63,2.81,3.87,2.89,2.28,2.44,2.57
c_0,1.44,1.32,1.21,1.09,0.88,1.18,2.55,2.92,2.16,4.04,4.94,2.81,3.44,3.63,3.87,2.89
b_0,1.34,1.31,1.34,1.31,0.87,0.84,2.97,3.06,2.49,2.48,4.2,3.0,3.37,4.95,3.6,2.74
f_0,0.97,1.11,1.38,1.3,1.37,1.19,2.89,2.94,2.26,2.92,3.22,4.24,3.8,2.81,2.89,4.65
h_0,1.58,1.22,1.3,1.24,1.41,1.18,1.82,2.31,3.37,2.43,2.85,2.64,2.7,2.54,4.2,2.24
a_0,1.36,1.27,1.31,1.25,1.26,0.93,2.54,3.13,2.7,2.49,2.46,3.19,3.96,4.72,3.2,2.7
g_0,1.13,1.06,1.67,1.5,1.25,1.43,2.03,2.44,1.89,2.49,2.98,4.01,3.17,2.75,2.61,2.76
e_0,1.4,0.91,1.35,1.27,1.24,1.26,3.2,2.56,2.57,2.8,3.13,2.37,4.16,2.81,3.01,5.2
