,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,76.27,85.62,83.21,85.97,76.3,18.95,20.06,24.07,15.92,18.65,,6.68,21.11,17.45,13.6
d_1,96.42,1.15,90.13,85.46,72.74,79.23,36.26,,16.85,26.54,15.62,17.66,11.13,15.2,14.54,8.72
e_1,47.58,132.0,1.15,85.46,97.83,89.57,20.85,21.31,32.1,14.48,19.93,17.66,13.56,15.2,,24.29
c_1,96.42,107.25,126.85,1.15,135.1,128.75,22.54,8.42,35.47,,18.06,22.26,14.97,21.11,17.45,11.33
b_1,104.69,110.71,107.03,65.88,1.15,93.64,37.91,21.31,24.96,26.54,,17.07,15.5,29.23,,13.6
a_1,229.0,156.0,122.32,126.48,83.44,1.16,49.06,29.65,42.12,39.81,44.46,24.38,22.84,,,17.0
h_1,76.33,81.71,122.32,121.62,74.66,98.1,2.0,22.0,24.07,18.74,18.06,19.69,,19.0,17.45,14.78
d_0,114.5,,50.37,102.0,94.57,76.3,29.79,3.0,19.82,15.92,15.21,16.52,12.4,20.0,17.45,15.45
g_1,104.69,110.71,155.68,95.82,166.88,114.44,25.27,31.0,2.0,28.95,28.9,21.33,11.73,34.55,29.08,
c_0,91.6,62.4,83.54,,118.21,121.18,19.4,20.67,33.7,2.95,27.52,19.69,15.5,17.27,13.42,13.6
b_0,87.24,118.34,122.32,131.75,,147.14,29.79,18.43,30.64,12.25,3.04,20.48,13.56,25.33,29.08,12.14
f_0,,156.0,137.0,112.93,118.21,121.18,30.89,31.0,22.47,21.23,25.13,2.93,18.87,34.55,23.27,8.72
h_0,135.7,74.61,85.62,93.0,76.68,98.1,,20.06,29.3,17.22,16.06,24.38,,11.88,13.42,17.0
a_0,215.53,132.0,180.26,175.67,236.42,,43.89,29.65,51.85,37.47,18.06,34.13,31.0,3.02,,18.89
e_0,281.85,156.0,,225.86,,,37.91,37.89,42.12,37.47,24.08,30.12,18.87,,3.01,28.33
g_0,122.13,118.34,163.1,105.4,109.12,158.46,24.53,20.67,,26.54,28.9,25.6,14.47,21.11,29.08,
