,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10796.89,2232.24,1462.0,1822.61,2957.17,13778.39,859572.58,4556045.83,3533362.82,3458256.7,10182928.56,3973492.37,37664488.19,40351480.47,75090562.46,65869233.15
e_1,1090.23,11679.36,1240.03,2429.07,2964.96,12935.01,1059794.05,8854193.09,3385225.39,5526303.74,10131919.97,16221389.32,39443592.4,39260001.56,82403595.07,13762306.99
d_1,1285.04,1066.36,15869.53,1320.56,3480.4,19207.79,934406.13,1229296.9,3357286.96,10023558.13,11453810.59,14904146.2,57367560.6,28645187.6,78532554.73,54107735.96
c_1,1133.88,1022.37,1363.09,20315.82,6412.97,17712.77,810576.03,4245108.58,4089636.32,850291.67,7319455.05,17680868.22,57959891.76,41661022.61,76601291.86,63170865.63
b_1,1017.52,1017.15,1639.65,2182.71,42692.51,28360.41,927946.07,4057561.09,3964204.45,4226901.2,1924408.92,14673467.46,39950951.65,25298919.18,87101190.09,60739993.59
a_1,1126.09,1178.85,1726.13,1953.41,2638.57,303006.02,1120828.26,4917382.13,4059865.27,5324900.42,12247339.84,13480716.51,50296960.31,7583242.32,61626156.93,54298553.04
h_1,2826.08,1576.02,2726.68,3592.93,4662.64,23226.59,6123380.84,8353708.88,7678172.92,8375190.51,17831511.88,19637727.29,33834044.1,62518354.32,170414350.98,110321149.53
d_0,2219.47,2626.85,725.22,6307.42,4366.02,22894.96,1873169.62,22246478.18,4872694.25,8530795.14,15421251.84,29755905.98,78915341.5,65713899.16,157198180.16,101491955.79
g_1,2168.73,1508.26,4560.07,2451.5,4706.19,27868.75,1620064.0,6347577.69,32331583.56,7837025.65,21959026.53,45104396.64,69890874.9,59291666.22,45648100.54,86473759.75
c_0,2210.57,2357.64,3429.06,1380.39,4459.06,26571.39,1757969.96,7573509.31,5446010.02,25444687.1,42954171.8,34369613.44,74257861.23,106663631.87,138403373.34,107719533.94
b_0,1988.04,2423.44,2485.95,3334.1,2126.75,21544.53,2116714.44,10411614.62,7165461.83,12395585.95,57477515.19,34942166.75,79905021.86,165767016.29,147425967.12,113901704.91
f_0,849.66,1922.64,3412.66,3210.65,7222.88,24102.93,2166408.85,9814192.54,6448871.48,11161964.94,24429655.7,82981583.67,84492564.29,85417422.1,136306848.87,192264395.34
h_0,2799.92,1930.2,2733.37,3526.71,6479.37,21511.5,482988.4,5826133.71,8186370.34,7552887.05,21919859.95,28725932.59,23967924.29,63439272.82,189619180.88,79106382.23
a_0,2035.91,2175.33,2845.76,3613.44,5996.26,13125.87,1532489.51,9976532.57,7885206.88,10433654.2,22397532.44,35147588.07,90960092.45,278251777.35,151931522.61,117132958.95
g_0,1345.13,1751.23,4087.21,4129.86,5469.66,33388.48,1268467.72,6877506.0,2865389.39,8886244.94,22275141.55,38966067.35,84531039.96,64540436.67,62939501.25,94858494.62
e_0,2365.6,595.13,3263.24,2914.88,6936.38,29176.72,2302528.73,7663850.37,7045392.94,8515943.47,28823565.42,31780681.12,79550102.31,72378773.83,104693092.1,498418685.48
