,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.12,0.89,1.04,0.86,0.71,0.7,0.88,0.58,0.69,0.6,0.56,0.6,0.63,0.61
f_1,1.24,1.0,0.99,0.88,0.95,0.73,0.61,0.72,0.67,0.55,0.58,0.56,0.54,0.52,0.43,0.55
c_1,0.92,1.01,1.0,1.1,1.19,0.83,0.73,0.67,0.5,0.6,0.62,0.57,0.58,0.56,0.57,0.53
d_1,1.11,1.15,0.92,1.0,0.93,0.79,0.71,0.59,0.68,0.8,0.64,0.66,0.67,0.61,0.56,0.46
b_1,0.98,1.05,0.84,1.09,1.0,1.21,0.76,0.7,0.71,0.73,0.64,0.67,0.55,0.64,0.6,0.61
a_1,1.16,1.35,1.18,1.19,0.85,1.0,0.94,0.81,0.79,0.74,0.72,0.92,0.72,0.78,0.74,0.68
h_1,1.39,1.64,1.37,1.39,1.3,1.02,1.0,1.1,0.88,0.78,0.82,0.84,0.72,0.82,0.71,0.85
g_1,1.44,1.45,1.46,1.73,1.39,1.24,0.91,1.0,0.87,0.84,1.08,0.9,0.88,0.8,0.82,0.8
d_0,1.16,1.48,1.95,1.49,1.41,1.24,1.15,1.14,1.0,0.85,0.88,0.95,0.96,0.84,0.93,0.89
c_0,1.68,1.82,1.61,1.3,1.38,1.25,1.3,1.12,1.15,1.0,0.97,1.27,1.03,0.95,0.84,0.97
f_0,1.45,1.78,1.63,1.62,1.5,1.29,1.17,0.89,1.12,0.97,1.0,1.05,0.98,1.0,1.35,0.74
b_0,1.74,1.79,1.68,1.53,1.48,1.11,1.17,1.15,1.02,0.79,0.95,1.0,1.3,0.91,0.79,0.94
a_0,1.72,1.8,1.78,1.5,1.74,1.31,1.31,1.16,1.09,0.96,1.03,0.8,1.0,0.98,1.07,0.88
h_0,1.65,1.86,1.79,1.61,1.58,1.29,1.23,1.27,1.22,1.06,0.96,1.07,1.03,1.0,0.88,1.06
e_0,1.63,2.24,1.73,1.63,1.58,1.36,1.42,1.17,1.12,1.14,0.78,1.15,0.96,1.1,1.01,0.92
g_0,1.63,1.79,1.94,2.06,1.68,1.42,1.19,1.24,1.19,1.12,1.39,1.1,1.07,0.92,1.16,1.0
