,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.04,1.71,1.64,1.4,1.36,1.14,0.53,0.42,0.56,0.47,0.43,0.43,0.32,0.41,0.25,0.36
f_1,1.46,1.04,1.69,1.56,1.4,1.26,0.46,0.56,0.48,0.41,0.42,0.46,0.28,0.34,0.34,0.32
e_1,1.66,1.15,1.04,1.66,1.43,1.35,0.58,0.6,0.57,0.49,0.5,0.49,0.34,0.43,0.36,0.41
c_1,2.18,1.73,1.53,1.05,1.87,1.4,0.63,0.64,0.35,0.53,0.44,0.51,0.42,0.41,0.38,0.42
b_1,1.98,2.05,1.82,1.24,1.05,1.91,0.72,0.66,0.55,0.68,0.72,0.53,0.46,0.49,0.42,0.49
a_1,2.45,2.71,2.39,2.52,1.43,1.06,1.14,0.99,0.86,0.8,0.87,0.63,0.65,0.92,0.54,0.61
h_1,4.29,4.73,4.37,4.24,3.96,3.24,1.24,1.76,1.3,1.16,1.23,1.09,1.28,1.08,0.99,1.0
g_1,5.28,5.0,4.65,4.43,4.78,3.69,1.43,1.25,1.48,1.5,1.48,1.52,0.94,1.23,1.13,1.25
d_0,5.73,4.91,3.59,6.05,4.81,3.96,2.09,1.92,1.35,1.56,1.66,1.35,1.33,1.21,1.13,1.45
c_0,3.77,5.59,5.43,7.21,4.91,4.17,2.07,1.83,2.02,1.33,1.88,1.52,1.31,1.39,1.13,1.45
b_0,5.02,5.99,5.22,7.03,5.52,4.05,2.18,1.94,1.68,1.08,1.33,1.55,1.17,1.53,1.14,1.19
f_0,5.91,7.05,5.88,5.55,5.83,5.63,2.43,1.69,1.86,1.89,1.89,1.36,1.42,1.58,0.99,2.16
h_0,6.98,7.67,7.44,6.68,7.04,5.5,2.91,2.57,2.13,1.96,2.05,2.0,1.72,1.66,1.66,1.57
a_0,7.3,9.11,7.79,7.51,6.83,6.06,2.94,2.96,2.5,2.0,1.61,1.88,1.74,1.43,1.52,1.61
g_0,8.77,8.5,8.21,8.02,7.36,6.68,2.8,3.59,2.4,2.47,2.51,2.64,1.61,2.1,1.84,2.32
e_0,8.15,10.87,9.67,8.2,8.39,6.77,3.03,2.51,2.3,2.02,2.57,1.44,2.08,2.2,1.58,1.52
