,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.1,3.61,3.52,3.02,2.62,2.59,0.82,0.54,0.57,0.93,0.59,0.57,0.38,0.51,0.52,0.27
e_1,3.38,1.1,1.74,3.58,3.46,2.86,0.98,1.04,0.64,0.64,0.64,0.91,0.46,0.6,0.99,0.55
f_1,2.88,3.03,1.1,3.38,2.96,2.59,0.69,1.37,0.63,0.64,0.61,0.83,0.32,0.63,0.59,0.5
c_1,4.52,2.99,3.62,1.11,3.64,3.34,1.01,0.95,1.07,0.43,0.78,0.81,0.48,0.66,0.7,0.6
b_1,4.28,3.82,4.69,2.21,1.12,4.7,1.16,1.22,1.01,0.91,1.52,0.88,0.62,1.04,0.94,0.7
a_1,6.2,5.26,7.11,5.22,2.99,1.13,1.7,1.68,1.32,1.35,1.71,0.96,1.14,1.88,1.13,0.9
h_1,9.76,11.44,14.57,10.67,9.39,9.04,1.6,3.16,2.51,2.63,2.24,1.92,2.33,1.85,1.88,1.57
g_1,12.78,13.94,15.74,14.28,13.83,12.59,2.98,1.64,2.92,2.69,2.85,2.36,1.54,2.52,2.76,2.14
c_0,8.09,15.18,14.04,25.62,15.44,15.05,4.36,3.85,1.89,4.4,2.77,2.61,1.92,2.32,2.77,1.83
d_0,21.94,8.99,14.94,16.84,18.57,13.38,4.81,5.5,3.18,2.07,3.36,3.61,2.59,3.07,3.52,2.7
b_0,11.28,16.22,15.82,23.79,22.51,17.35,4.42,4.82,1.87,4.31,1.93,3.11,2.85,3.01,3.21,2.39
f_0,14.87,14.22,26.8,16.21,18.32,16.18,5.21,3.2,3.27,3.64,3.71,1.97,2.71,3.32,3.46,1.77
h_0,21.68,20.16,21.81,23.61,24.59,17.35,8.34,6.29,4.47,4.43,4.2,3.93,4.16,3.95,3.93,3.63
a_0,19.37,21.11,24.21,28.83,36.38,32.64,7.62,5.72,3.85,5.11,2.46,4.64,2.95,2.31,4.45,2.91
e_0,21.17,30.24,32.81,30.28,19.97,17.67,6.08,5.33,4.77,4.62,5.05,2.32,4.04,5.25,2.26,3.18
g_0,22.21,25.13,33.76,25.19,25.54,21.89,5.58,9.14,5.24,5.52,5.05,5.34,2.99,5.06,4.94,3.94
