,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,12.4,0.67,0.63,0.8,0.57,0.68,0.94,2.09,0.76,0.82,0.99,0.99,1.05,0.79,1.05,0.61
f_1,1.59,12.4,0.64,0.67,0.53,0.47,0.85,0.92,0.83,0.86,1.07,0.48,1.02,0.89,0.79,0.66
d_1,0.6,0.74,16.27,0.45,0.53,0.55,0.98,0.42,1.24,2.71,1.15,0.98,1.02,1.28,1.04,0.99
c_1,0.48,0.61,0.52,14.91,1.84,0.72,0.88,0.95,0.86,0.45,0.66,0.93,0.87,0.97,0.89,0.99
b_1,0.55,0.57,0.65,0.67,16.86,1.69,0.94,0.83,0.76,0.82,0.52,1.04,0.75,0.64,0.81,1.18
a_1,0.69,0.77,0.61,0.73,0.65,22.77,0.89,0.95,0.9,0.72,0.79,0.95,1.08,0.52,0.99,0.93
h_1,0.68,1.11,0.99,0.59,0.6,0.76,3.94,0.99,1.34,0.98,1.16,1.17,0.7,1.03,1.86,1.06
d_0,0.6,0.81,0.4,2.63,0.98,0.55,0.97,2.2,0.86,0.51,1.07,1.0,1.13,1.16,1.1,1.13
g_1,0.54,0.66,1.81,0.76,0.64,0.58,0.92,0.81,5.32,1.27,1.19,2.05,1.09,1.26,0.71,1.33
c_0,0.68,0.94,0.94,0.53,0.44,0.8,1.46,0.85,1.25,2.8,3.21,1.34,1.4,1.59,1.44,1.36
b_0,0.69,0.87,0.95,0.78,0.36,0.63,1.18,1.16,1.14,1.08,3.04,1.32,1.42,3.32,1.33,1.31
f_0,0.51,0.6,0.88,0.86,0.85,0.75,1.25,1.15,1.25,0.94,1.41,3.36,1.21,1.27,1.51,2.98
h_0,0.74,1.27,0.84,0.8,0.62,0.57,0.65,0.96,1.48,0.9,1.17,1.2,0.72,1.07,1.44,1.13
a_0,0.78,1.07,0.87,0.9,0.64,0.32,1.24,0.96,1.13,1.06,1.32,1.35,1.82,3.39,1.18,1.04
g_0,0.59,0.55,1.7,0.81,0.76,0.69,0.94,0.92,0.79,0.86,1.06,2.13,1.06,1.09,1.12,1.7
e_0,0.36,0.87,0.81,1.16,0.81,0.94,1.03,0.89,1.18,0.89,1.13,1.13,1.25,1.28,0.98,3.84
