,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.15,71.31,101.56,85.61,75.26,106.56,15.89,28.83,17.34,35.24,,15.17,6.52,13.32,20.94,
d_1,101.03,1.15,127.89,85.61,83.86,,30.64,18.7,,18.72,19.1,13.27,11.78,6.66,19.78,13.31
e_1,43.12,91.95,1.15,92.94,104.82,95.9,26.81,23.07,16.07,23.04,21.22,24.14,13.25,13.32,16.95,
c_1,82.23,124.79,98.66,1.15,83.86,,22.0,26.62,10.8,,19.76,18.96,16.31,12.03,16.18,24.71
b_1,126.29,109.19,104.64,54.22,1.15,106.56,33.0,36.42,21.97,20.66,16.85,,12.85,18.65,,28.83
a_1,130.96,,164.43,,97.83,1.15,50.47,46.13,27.46,24.96,30.16,33.19,22.32,,,
h_1,88.4,102.76,86.32,101.66,97.83,91.33,2.0,36.42,15.69,15.36,18.48,19.67,,12.43,15.48,16.48
g_1,130.96,105.88,150.13,147.86,146.75,137.0,23.83,2.0,21.26,20.66,28.65,31.24,10.1,,20.94,23.07
d_0,101.03,,59.53,77.45,94.68,100.95,25.24,23.86,2.87,18.72,26.05,14.35,16.31,12.03,23.73,19.22
c_0,117.87,56.35,90.87,,104.82,79.92,34.32,21.62,23.54,3.1,17.36,29.5,16.31,11.66,27.38,20.35
f_0,,102.76,104.64,112.17,108.7,106.56,33.0,18.21,41.19,17.11,2.95,24.14,12.47,10.36,18.74,28.83
b_0,104.0,97.06,111.39,130.12,,119.88,34.32,30.09,25.35,13.93,19.76,3.14,22.32,14.92,29.67,19.22
h_0,104.0,72.79,75.07,90.36,94.68,95.9,,26.62,21.97,16.19,22.92,16.59,,21.94,16.95,16.48
g_0,130.96,124.79,111.39,120.48,112.88,,19.07,,25.35,23.96,19.76,24.14,11.46,,22.25,18.21
a_0,147.33,183.89,287.75,171.21,,,47.67,57.67,34.68,28.52,33.71,20.42,30.29,28.69,2.94,
e_0,,249.57,,141.43,154.47,,35.75,43.25,38.76,35.24,16.85,26.55,28.27,24.87,,3.09
