,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.33,0.5,0.4,0.47,0.91,0.25,0.92,0.76,0.97,0.28,1.01,0.67,1.18,0.8,0.68,0.99
f_1,0.52,2.33,0.56,0.85,0.37,0.25,0.87,0.8,0.83,0.9,0.32,1.01,1.08,0.39,0.84,0.87
d_1,0.39,0.55,2.39,0.39,0.43,0.33,1.0,0.87,0.47,2.02,1.1,1.3,1.2,0.95,0.9,1.19
e_1,0.58,0.51,0.39,2.4,0.48,0.36,0.74,0.78,2.03,0.9,0.96,0.99,1.31,0.36,0.81,1.28
b_1,0.46,0.51,0.43,0.48,2.48,0.84,0.97,0.65,1.01,0.82,0.94,0.29,1.11,0.76,0.66,0.94
a_1,0.65,0.51,0.45,0.39,0.41,3.07,0.84,0.92,1.05,0.98,0.96,0.87,1.19,1.07,0.34,1.23
h_1,0.57,0.86,0.63,0.53,0.45,0.49,2.93,1.24,1.06,1.31,1.04,1.19,0.84,0.9,1.09,1.69
g_1,0.51,0.52,0.98,0.51,0.51,0.33,1.16,3.23,1.1,1.22,1.89,1.09,1.35,1.11,0.93,0.82
d_0,1.25,0.58,0.29,0.59,0.55,0.43,0.91,0.89,2.55,0.82,1.24,1.08,1.34,0.91,0.92,1.27
c_0,0.37,0.67,0.75,0.53,0.4,0.45,1.14,1.06,1.16,2.66,1.33,2.63,1.56,1.15,1.13,1.79
f_0,0.69,0.34,0.77,0.51,0.57,0.51,1.11,0.94,1.02,1.27,2.73,1.32,1.4,1.88,1.14,1.46
b_0,0.62,0.79,0.65,0.6,0.26,0.31,1.09,1.13,1.3,1.23,1.03,2.72,1.82,1.18,1.91,1.52
h_0,0.58,0.83,0.66,0.57,0.51,0.42,0.65,1.59,1.3,1.18,1.07,1.1,0.9,0.96,1.05,1.97
e_0,0.69,0.76,0.71,0.21,0.63,0.45,1.38,1.1,0.98,0.94,1.13,1.25,1.72,3.23,1.07,1.34
a_0,0.69,0.65,0.8,0.51,0.47,0.25,1.23,0.96,1.19,1.02,0.78,0.88,1.57,0.84,2.94,1.49
g_0,0.67,0.5,0.98,0.51,0.56,0.35,0.98,0.61,1.21,1.28,1.6,1.15,1.58,0.94,0.95,0.93
