,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.84,1.14,1.48,1.63,3.72,23.15,35.15,42.06,38.78,45.2,53.84,77.42,110.02,120.45,136.94
f_1,1.2,1.0,0.97,1.05,1.24,2.37,13.94,23.1,27.08,26.85,36.55,36.55,57.49,70.54,96.97,69.04
d_1,0.87,1.03,1.0,0.94,1.14,2.62,18.13,26.04,21.69,38.96,47.33,37.74,67.17,73.94,70.94,85.08
c_1,0.68,0.95,1.07,1.0,1.63,2.44,17.86,15.25,27.45,21.65,29.81,31.64,59.18,70.5,86.76,93.34
b_1,0.61,0.81,0.86,0.62,1.0,3.02,15.05,18.11,23.36,24.59,27.9,33.76,50.07,57.97,69.55,97.08
a_1,0.27,0.42,0.38,0.41,0.33,1.0,6.4,8.24,12.81,10.96,19.03,15.95,26.33,36.74,30.9,35.56
h_1,0.04,0.07,0.06,0.06,0.07,0.15,1.0,1.38,1.99,1.69,1.75,2.05,3.66,4.28,7.71,6.11
d_0,0.03,0.04,0.04,0.06,0.06,0.12,0.73,1.0,1.27,1.08,1.77,1.76,3.3,3.2,4.25,4.38
g_1,0.02,0.03,0.05,0.04,0.04,0.08,0.51,0.76,1.0,0.95,1.3,1.69,2.01,2.72,3.26,3.89
c_0,0.03,0.04,0.03,0.05,0.04,0.09,0.6,0.91,1.04,1.0,2.02,1.38,2.49,2.89,3.05,3.42
b_0,0.02,0.03,0.02,0.03,0.03,0.05,0.56,0.55,0.77,0.51,1.0,1.13,1.92,2.96,2.29,2.17
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.48,0.6,0.58,0.74,0.89,1.0,1.7,1.86,2.06,3.61
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.28,0.31,0.5,0.4,0.52,0.55,1.0,1.07,1.54,1.47
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.31,0.37,0.35,0.33,0.5,0.98,1.0,1.49,1.26
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.24,0.32,0.35,0.42,0.49,0.66,0.73,1.0,1.23
e_0,0.01,0.02,0.01,0.01,0.01,0.02,0.17,0.22,0.29,0.3,0.45,0.26,0.67,0.78,0.88,1.0
