,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.48,0.28,0.2,0.18,0.14,0.16,0.21,0.19,0.15,0.2,0.16,,0.18,0.11,0.18,0.11
e_1,0.18,1.48,0.13,0.1,0.14,0.13,0.2,0.33,0.19,0.18,0.19,0.2,0.24,,0.21,0.17
c_1,0.17,0.22,1.53,0.18,0.26,0.17,0.2,0.19,0.18,,0.16,0.17,0.22,0.13,0.14,0.21
d_1,0.2,0.2,0.14,1.57,0.13,0.11,0.22,,0.17,0.34,0.22,0.15,0.26,0.18,0.15,0.18
b_1,0.21,0.17,0.13,0.19,1.59,0.26,0.16,0.22,0.19,0.18,,0.21,0.23,0.18,0.12,0.21
a_1,0.18,0.2,0.15,0.2,0.12,1.73,0.23,0.24,0.18,,0.2,0.24,0.3,0.19,,
h_1,0.49,0.41,0.38,0.38,0.43,0.3,1.62,0.44,0.46,0.55,0.4,0.39,,0.38,0.31,0.48
d_0,0.53,0.41,0.77,,0.34,0.3,0.56,1.4,0.45,0.55,0.47,0.42,0.63,0.52,0.5,0.56
g_1,0.48,0.29,0.4,0.51,0.43,0.31,0.44,0.47,1.74,0.5,0.46,0.53,0.44,0.4,0.39,
c_0,0.52,0.49,,0.41,0.37,,0.48,0.44,0.47,1.44,1.0,0.67,0.61,0.44,0.46,0.54
b_0,0.49,0.59,0.42,0.35,,0.41,0.63,0.68,0.52,0.49,1.49,0.52,0.55,0.46,0.79,0.59
f_0,,0.38,0.51,0.57,0.46,0.32,0.6,0.82,0.54,0.42,0.58,1.55,0.48,0.77,,0.49
h_0,0.67,0.48,0.56,0.58,0.64,0.42,,0.77,0.76,0.87,0.72,0.7,,0.75,,1.0
e_0,0.46,,0.71,0.42,0.5,0.49,0.77,0.52,0.6,0.69,0.47,0.38,0.58,1.62,,0.55
a_0,0.46,0.45,0.62,0.45,0.56,,0.67,0.77,0.57,0.62,0.38,,,,1.65,
g_0,0.62,0.63,0.6,0.89,0.64,,0.71,0.72,,0.71,0.58,1.1,0.52,0.79,,
