,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.49,0.67,0.57,0.81,0.53,0.59,0.79,1.47,0.75,0.75,0.94,0.83,0.82,1.0,0.85,0.6
f_1,1.06,1.49,0.61,0.66,0.59,0.46,0.8,0.72,0.73,0.83,0.63,0.39,0.63,0.72,0.72,0.42
d_1,0.78,0.83,1.54,0.52,0.58,0.54,0.82,0.54,0.61,1.27,0.82,0.79,0.71,0.84,0.79,0.76
c_1,0.64,0.75,0.79,1.56,1.02,0.48,0.77,0.65,0.75,0.41,0.67,0.68,0.59,0.73,0.6,0.66
b_1,0.74,0.71,0.81,0.57,1.66,1.06,0.86,0.69,0.77,0.65,0.47,0.91,0.65,0.98,0.79,0.86
a_1,0.74,0.86,0.8,0.81,0.48,1.76,0.94,0.88,0.76,0.95,0.93,0.92,0.46,1.01,1.29,0.75
h_1,0.93,1.16,0.95,0.84,0.83,0.67,1.7,0.96,1.05,0.98,0.92,0.99,0.85,0.83,1.15,0.93
d_0,0.71,1.06,0.67,1.53,0.97,0.73,1.07,1.56,1.06,0.83,1.03,1.01,0.94,1.1,1.01,0.92
g_1,0.88,0.72,1.42,0.93,0.75,0.72,1.06,0.89,1.83,1.14,1.13,1.51,0.96,0.88,0.96,1.04
c_0,1.17,1.0,0.85,0.81,0.77,0.74,1.11,1.39,0.85,1.59,1.72,1.12,0.96,1.27,1.43,0.88
b_0,0.9,1.25,0.99,1.13,0.57,0.59,1.16,1.18,0.95,0.92,1.67,1.1,1.71,1.12,1.21,1.04
f_0,0.87,0.81,1.12,1.09,0.84,0.73,1.18,1.23,0.93,1.03,1.09,1.72,1.17,1.22,1.14,1.72
a_0,0.92,1.09,1.16,1.27,0.97,0.46,1.27,1.4,0.94,1.07,0.94,1.07,1.75,1.33,1.17,1.05
h_0,0.99,1.39,1.04,1.01,0.71,0.84,0.93,1.25,1.36,0.97,1.09,1.06,0.96,0.89,1.43,0.91
g_0,0.96,1.04,1.38,1.12,0.84,0.6,1.24,1.16,0.67,0.97,1.24,1.55,1.14,1.22,0.96,0.88
e_0,0.61,1.5,1.1,1.1,0.94,0.77,1.23,1.17,1.1,1.15,1.05,0.95,1.08,1.36,1.24,1.72
