,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.45,4.35,4.0,3.16,4.25,4.51,0.8,0.94,1.04,1.33,0.76,2.86,0.43,0.81,0.72,0.74
e_1,2.21,0.45,5.18,3.93,5.82,5.43,1.34,0.89,0.76,1.47,0.9,1.06,0.72,4.51,0.93,0.71
c_1,4.67,3.92,0.42,6.4,4.1,5.38,1.66,0.45,3.78,1.06,0.94,0.7,0.64,0.83,0.77,0.66
d_1,5.11,4.43,5.34,0.41,4.34,4.78,1.15,3.66,0.88,0.8,1.0,0.77,0.76,0.64,0.86,0.37
b_1,5.12,7.44,2.41,4.78,0.39,4.2,1.39,1.23,1.13,1.69,5.72,1.07,0.78,0.82,1.2,0.77
a_1,7.24,5.69,6.12,7.7,2.46,0.33,1.86,1.6,1.19,1.78,2.13,1.34,0.84,1.33,,0.9
h_1,4.91,4.83,5.33,5.69,5.87,4.24,0.35,1.44,0.81,1.91,0.88,0.9,2.77,0.95,1.2,0.89
d_0,5.31,2.9,5.46,18.17,6.11,4.31,1.82,0.46,1.23,1.86,1.14,1.07,0.69,0.87,0.95,0.84
c_0,5.61,6.77,20.07,3.09,6.66,4.76,1.81,1.15,0.42,1.54,1.2,1.25,0.7,1.16,1.06,0.7
g_1,6.65,6.87,6.24,6.05,7.02,3.62,1.26,1.38,1.12,0.31,1.36,1.17,0.62,1.29,1.41,1.62
b_0,7.29,4.57,9.37,5.56,30.68,5.57,1.43,1.17,0.6,1.74,0.37,1.07,0.73,1.53,1.08,0.7
f_0,19.13,6.16,5.59,5.06,6.67,5.47,1.81,1.27,1.19,1.01,1.27,0.39,1.09,0.98,1.31,0.56
h_0,8.32,5.97,6.61,5.63,7.28,7.72,4.81,1.37,1.37,1.92,1.31,1.74,2.1,1.48,1.34,1.22
e_0,13.82,15.91,6.33,7.49,6.07,7.83,1.86,1.17,1.84,1.73,1.37,0.65,1.19,0.36,1.57,1.17
a_0,8.92,6.17,9.62,7.18,10.59,,2.11,1.74,1.37,2.55,0.64,1.41,0.98,1.37,0.33,1.2
g_0,8.52,7.85,8.75,7.13,9.52,7.7,1.62,1.85,1.3,,1.46,1.66,0.85,1.4,1.5,
