,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.04,1.18,0.91,0.99,0.92,0.88,0.94,0.95,1.1,1.07,0.84,0.89,0.88,0.83,1.09
c_1,0.96,1.0,0.83,1.38,1.25,0.93,0.87,0.75,0.78,1.02,0.71,0.85,0.9,0.97,0.95,1.04
e_1,0.84,1.22,1.0,1.02,0.83,0.92,1.17,1.41,0.98,1.0,1.05,1.14,0.93,1.13,0.89,1.13
b_1,1.12,0.73,0.98,1.0,1.05,1.4,1.12,0.9,1.11,1.16,1.01,1.02,0.94,0.97,1.1,0.98
d_1,1.0,0.8,1.2,0.96,1.0,0.95,0.96,1.07,1.32,0.78,1.1,1.18,1.21,1.12,1.01,0.81
a_1,1.09,1.08,1.08,0.72,1.05,1.0,1.15,1.01,0.94,1.09,1.2,1.02,1.11,0.98,1.12,1.09
h_1,1.15,1.15,0.85,0.9,1.01,0.89,1.0,0.97,0.95,1.3,1.01,0.92,0.94,1.15,0.91,1.07
d_0,1.06,1.34,0.71,1.09,0.99,0.93,1.01,1.0,0.81,0.97,0.75,0.94,0.92,0.95,1.16,1.01
c_0,1.02,1.3,1.01,0.88,0.76,0.98,1.09,1.26,1.0,1.0,1.34,1.03,1.27,1.13,1.08,1.04
g_1,0.91,0.99,1.01,0.86,1.33,0.91,0.79,0.96,1.03,1.0,0.97,1.22,1.05,0.88,1.0,1.01
b_0,0.97,1.37,0.97,0.95,0.91,0.83,0.96,1.3,0.76,0.96,1.0,0.91,1.46,1.03,0.99,1.08
f_0,1.26,1.18,0.89,0.96,0.82,0.97,1.12,1.07,0.92,0.76,1.08,1.0,1.03,1.06,1.35,0.8
a_0,1.15,1.15,1.03,1.06,0.87,1.01,1.09,1.07,0.78,1.05,0.68,0.96,1.0,1.12,1.0,0.91
h_0,1.13,1.06,0.88,1.04,0.92,0.99,0.86,1.01,0.87,1.11,0.99,0.92,0.94,1.0,1.06,1.04
e_0,1.18,0.99,1.12,0.95,0.96,0.92,1.15,0.9,0.93,0.99,0.93,0.74,0.98,0.99,1.0,0.96
g_0,0.9,0.96,0.86,1.01,1.19,0.96,0.96,1.01,0.93,1.01,0.89,1.23,1.05,0.95,1.08,1.0
