,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.5,1.19,0.65,0.71,0.61,0.53,0.77,0.82,0.71,0.78,0.52,0.77,0.78,0.6,0.52,0.81
e_1,0.69,1.51,0.93,0.64,0.65,0.64,0.81,1.43,0.82,0.85,0.97,0.87,1.1,0.62,0.79,0.76
c_1,0.88,0.61,1.56,0.79,1.19,0.57,0.77,0.65,0.71,0.42,0.76,0.64,0.94,0.57,0.67,0.95
d_1,0.79,0.81,0.62,1.57,0.67,0.57,0.91,0.64,0.78,1.49,1.03,0.99,0.95,0.84,0.72,0.79
b_1,0.9,0.76,0.62,0.72,1.63,1.13,0.85,0.95,0.82,0.78,0.8,0.53,1.02,0.71,0.76,0.92
a_1,0.92,0.76,0.96,0.89,0.57,1.74,0.88,1.09,0.75,0.89,0.88,0.86,1.11,0.86,0.62,0.92
h_1,1.39,0.95,1.13,0.89,0.82,0.7,1.76,1.02,1.33,1.09,0.96,1.15,0.84,0.75,0.86,1.36
d_0,1.14,0.84,1.61,0.76,0.98,0.8,1.28,1.62,1.03,1.06,1.26,1.11,1.18,0.83,0.9,1.41
g_1,1.08,0.91,0.96,1.42,0.82,0.81,1.02,1.03,1.85,1.07,1.56,1.1,1.01,1.05,1.05,0.87
c_0,1.04,1.17,0.95,0.9,0.84,0.7,1.3,1.25,1.29,1.68,1.23,2.0,1.35,1.17,1.24,1.19
f_0,0.86,0.85,1.13,1.1,1.03,0.97,1.34,1.23,0.99,1.35,1.7,1.21,1.29,1.94,1.0,1.2
b_0,1.17,1.12,1.23,0.96,0.76,0.79,1.26,1.2,1.28,1.01,1.14,1.77,1.32,1.01,1.74,1.36
h_0,1.48,1.0,1.11,1.04,0.94,0.88,1.18,1.27,1.39,1.09,1.04,1.25,1.13,1.01,1.04,1.5
e_0,1.08,0.92,1.27,1.07,1.09,0.87,1.59,1.59,1.24,1.26,1.1,1.39,1.64,1.81,1.33,1.44
a_0,1.46,1.02,1.26,1.17,0.95,0.65,1.33,1.33,1.04,1.14,1.3,1.1,1.44,1.01,1.82,1.45
g_0,0.84,1.13,1.08,1.51,1.02,0.87,1.26,0.99,1.02,1.33,1.67,1.27,1.3,1.15,1.03,1.09
