,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.79,1.2,0.87,0.8,0.54,0.47,0.45,0.55,0.48,0.42,0.37,0.31,0.35,0.3
d_1,1.19,1.0,0.93,0.91,1.02,0.78,0.49,0.33,0.58,0.5,0.39,0.34,0.37,0.3,0.34,0.25
f_1,1.27,1.08,1.0,0.85,0.9,0.71,0.47,0.5,0.4,0.45,0.29,0.37,0.27,0.35,0.26,0.36
c_1,0.83,1.1,1.17,1.0,1.41,0.69,0.48,0.59,0.37,0.32,0.44,0.29,0.39,0.35,0.35,0.34
b_1,1.15,0.98,1.12,0.71,1.0,1.21,0.6,0.48,0.44,0.45,0.43,0.39,0.44,0.4,0.44,0.36
a_1,1.25,1.29,1.4,1.46,0.82,1.0,0.65,0.69,0.55,0.63,0.54,0.75,0.46,0.46,0.42,0.47
h_1,1.76,2.1,2.19,2.03,1.64,1.46,1.0,0.97,0.77,0.72,0.77,0.83,0.61,0.59,0.57,0.74
g_1,2.1,3.06,2.03,1.67,2.0,1.46,1.01,1.0,0.88,0.98,1.01,0.88,0.51,0.68,0.72,0.8
c_0,2.21,1.68,2.55,3.05,2.45,1.86,1.32,1.11,1.0,1.15,0.85,1.22,0.69,0.97,0.86,0.87
d_0,1.78,2.14,2.34,3.05,2.21,1.45,1.35,0.98,0.82,1.0,0.93,0.99,0.77,0.75,0.73,0.8
f_0,2.06,2.56,3.43,2.24,2.43,1.96,1.39,0.95,1.13,1.04,1.0,1.03,0.99,0.85,1.31,0.77
b_0,2.35,2.93,2.81,3.51,2.12,1.34,1.23,1.06,0.77,0.96,0.93,1.0,1.11,1.3,0.76,0.69
h_0,2.63,2.78,3.64,2.69,2.25,2.27,1.7,1.95,1.4,1.32,1.07,0.94,1.0,0.97,0.83,1.15
a_0,3.32,3.1,2.97,2.81,2.57,,1.63,1.5,1.08,1.34,1.22,0.76,1.17,1.0,1.18,1.08
e_0,3.06,3.06,4.05,2.74,2.31,2.32,1.67,1.4,1.16,1.33,0.72,1.3,1.23,0.96,1.0,0.94
g_0,3.37,3.91,2.76,2.93,2.72,2.15,1.35,1.29,1.18,1.3,1.27,1.37,0.86,0.94,1.16,1.0
