,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.43,1.96,1.13,2.7,2.19,2.14,0.67,0.65,0.45,0.4,0.55,0.49,0.35,0.43,1.22,0.38
d_1,2.6,0.42,1.8,2.24,2.45,1.89,0.53,0.32,0.37,1.46,0.36,0.3,0.3,0.36,0.34,0.18
f_1,1.8,2.08,0.43,2.03,2.18,2.02,0.42,0.68,0.38,0.44,0.85,0.38,0.21,0.36,0.35,0.38
c_1,1.68,2.69,2.51,0.41,2.2,1.72,0.53,1.04,0.97,0.22,0.48,0.45,0.3,0.45,0.43,0.26
b_1,2.51,2.36,2.67,1.15,0.4,2.1,0.7,0.7,0.6,0.45,0.45,1.25,0.37,0.55,0.61,0.35
a_1,2.83,2.73,3.7,3.06,1.18,0.34,0.97,0.81,0.64,0.83,0.66,1.05,0.39,2.03,0.45,0.41
h_1,3.01,2.97,3.19,3.43,3.64,3.8,0.35,0.88,0.63,0.64,0.64,0.67,1.12,0.56,0.57,0.51
g_1,3.91,3.56,3.21,4.5,3.82,3.46,0.87,0.31,0.72,0.99,0.65,0.73,0.37,0.75,0.7,1.01
c_0,3.77,1.83,3.92,7.6,5.86,4.48,1.05,0.9,0.37,1.46,0.69,0.79,0.58,0.87,0.88,0.63
d_0,1.99,10.4,3.92,3.75,3.81,3.51,1.26,1.45,0.92,0.37,0.86,0.94,0.53,0.92,0.9,0.75
f_0,3.74,3.27,9.73,3.84,4.39,3.97,1.15,0.77,0.77,1.02,0.35,0.75,0.61,0.76,0.86,0.4
b_0,3.88,3.5,4.47,6.4,10.87,3.59,1.09,1.05,0.45,0.79,0.71,0.35,0.69,0.81,0.77,0.5
h_0,4.46,4.47,5.63,4.3,3.79,4.35,1.88,1.56,1.1,0.9,0.87,0.8,0.97,0.85,0.8,0.67
a_0,5.79,3.72,4.31,5.28,6.31,9.94,1.31,1.5,0.83,1.09,0.92,0.46,0.61,0.32,1.0,0.74
e_0,8.75,4.06,7.26,4.6,4.67,3.73,1.21,1.2,1.04,1.08,0.42,0.97,0.71,1.04,0.33,0.67
g_0,5.74,4.43,5.12,4.01,4.87,5.55,1.05,2.45,1.01,1.22,0.94,1.08,0.52,0.92,1.04,1.35
