,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.29,0.56,0.4,0.75,0.62,0.67,0.9,0.79,2.23,0.84,0.89,0.88,1.03,0.87,0.47,0.91
f_1,1.14,15.52,0.48,0.57,0.55,0.43,0.73,0.68,0.92,0.84,1.02,0.41,0.97,0.79,0.62,1.02
d_1,0.56,0.62,20.12,0.34,0.42,0.56,1.0,0.92,0.36,2.54,1.22,1.1,1.01,1.24,1.1,0.85
c_1,0.47,0.52,0.57,18.27,1.31,0.43,0.88,0.75,0.73,0.23,0.71,1.01,0.79,0.86,1.09,0.83
b_1,0.47,0.48,0.69,0.69,18.48,1.31,0.72,0.97,0.82,0.65,0.36,0.94,0.89,0.65,0.99,0.83
a_1,0.51,0.66,0.67,0.55,0.48,31.65,1.01,0.84,0.82,0.98,0.93,1.22,1.07,0.4,0.91,1.09
h_1,0.54,1.12,0.81,0.73,0.67,0.81,4.92,1.69,0.75,1.02,1.16,1.07,0.68,1.15,1.12,1.73
g_1,0.53,0.64,1.56,0.7,0.47,0.65,1.15,6.55,0.86,1.14,1.2,2.23,1.13,1.06,1.64,0.84
d_0,0.61,0.73,0.34,1.98,0.9,0.63,1.28,1.28,2.82,0.77,1.11,1.19,1.17,1.18,1.07,1.11
c_0,0.69,0.91,0.86,0.51,0.54,0.62,1.39,1.21,1.06,2.99,3.06,1.21,1.38,1.74,1.57,1.3
b_0,0.82,0.83,0.86,0.75,0.35,0.61,1.24,1.39,1.13,1.15,3.45,0.96,1.34,3.69,1.2,1.42
f_0,0.52,0.48,1.26,0.72,0.7,0.8,1.24,1.26,1.11,1.3,1.41,3.95,1.51,1.2,3.29,1.39
h_0,0.68,1.27,0.74,0.74,0.78,0.51,0.6,1.69,1.24,1.19,1.03,1.13,0.64,0.91,1.14,1.99
a_0,0.79,0.84,0.95,0.63,0.63,0.47,1.05,1.36,0.91,1.46,1.21,0.97,1.55,5.0,1.47,1.41
e_0,0.34,0.98,0.68,0.72,0.82,0.77,1.67,1.2,1.13,1.37,1.64,0.96,1.68,1.31,4.54,1.29
g_0,0.74,0.6,1.38,0.74,0.63,0.66,1.2,0.94,0.97,0.96,1.16,1.86,1.16,1.45,1.43,0.81
