,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.9,0.42,0.2,0.19,0.15,0.1,0.18,0.14,0.18,0.17,0.14,0.06,0.18,0.1,0.06,0.14
e_1,0.27,0.9,0.17,0.25,0.18,0.1,0.18,0.1,0.18,0.38,0.17,0.15,0.21,0.14,0.07,0.17
d_1,0.26,0.22,0.9,0.16,0.16,0.13,0.2,0.18,0.36,0.08,0.21,0.16,0.18,0.12,0.1,0.16
c_1,0.24,0.2,0.21,0.89,0.33,0.12,0.16,0.14,0.09,0.18,0.13,0.15,0.19,0.11,0.12,0.12
b_1,0.25,0.2,0.19,0.22,0.89,0.23,0.16,0.15,0.18,0.17,0.1,0.13,0.2,0.09,0.1,0.12
a_1,0.28,0.2,0.23,0.2,0.18,0.88,0.22,0.19,0.2,0.2,0.2,0.15,0.19,0.08,0.11,0.16
h_1,0.42,0.28,0.24,0.25,0.16,0.13,0.58,0.27,0.23,0.21,0.22,0.15,0.16,0.16,0.16,0.22
g_1,0.25,0.24,0.44,0.21,0.21,0.16,0.18,0.57,0.3,0.13,0.25,0.3,0.23,0.15,0.17,0.16
c_0,0.36,0.29,0.3,0.17,0.16,0.12,0.26,0.2,0.43,0.24,0.43,0.23,0.26,0.19,0.16,0.21
d_0,0.34,0.28,0.15,0.48,0.21,0.11,0.25,0.17,0.14,0.42,0.23,0.14,0.26,0.15,0.13,0.16
b_0,0.36,0.29,0.31,0.25,0.11,0.12,0.26,0.2,0.23,0.22,0.44,0.18,0.24,0.3,0.16,0.2
f_0,0.17,0.24,0.3,0.23,0.24,0.19,0.23,0.21,0.22,0.27,0.29,0.46,0.29,0.2,0.36,0.19
h_0,0.44,0.29,0.29,0.21,0.24,0.14,0.11,0.21,0.21,0.19,0.2,0.16,0.15,0.16,0.13,0.2
a_0,0.37,0.26,0.3,0.28,0.24,0.07,0.24,0.17,0.24,0.25,0.23,0.16,0.28,0.39,0.11,0.2
e_0,0.33,0.18,0.33,0.24,0.22,0.12,0.23,0.27,0.22,0.27,0.25,0.24,0.25,0.24,0.43,0.19
g_0,0.27,0.26,0.43,0.26,0.22,0.12,0.22,0.13,0.23,0.21,0.22,0.27,0.23,0.15,0.17,0.12
