,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.16,0.47,0.27,0.47,0.48,0.47,0.13,0.16,0.11,0.1,0.11,0.12,0.08,0.09,0.14,0.08
d_1,0.58,0.16,0.51,0.42,0.43,0.38,0.13,0.08,0.14,0.08,0.09,0.08,0.06,0.09,0.07,0.05
f_1,0.47,0.42,0.16,0.41,0.46,0.42,0.09,0.13,0.09,0.09,0.09,0.13,0.05,0.09,0.07,0.07
c_1,0.36,0.58,0.44,0.15,0.45,0.42,0.13,0.13,0.05,0.13,0.09,0.08,0.06,0.08,0.08,0.06
b_1,0.44,0.46,0.48,0.25,0.14,0.45,0.16,0.14,0.1,0.13,0.15,0.11,0.07,0.09,0.11,0.07
a_1,0.43,0.45,0.49,0.6,0.24,0.1,0.13,0.16,0.12,0.09,0.11,0.1,0.09,0.13,0.11,0.07
h_1,0.37,0.36,0.45,0.46,0.33,0.37,0.06,0.12,0.09,0.08,0.09,0.08,0.08,0.07,0.07,0.06
g_1,0.48,0.4,0.45,0.42,0.4,0.33,0.08,0.05,0.08,0.08,0.08,0.08,0.05,0.07,0.08,0.07
d_0,0.23,0.65,0.41,0.44,0.41,0.38,0.12,0.15,0.06,0.09,0.1,0.08,0.06,0.09,0.08,0.06
c_0,0.42,0.24,0.41,0.64,0.43,0.36,0.11,0.11,0.13,0.05,0.09,0.09,0.06,0.08,0.08,0.06
b_0,0.36,0.32,0.4,0.62,0.67,0.34,0.11,0.11,0.09,0.04,0.05,0.08,0.06,0.07,0.07,0.06
f_0,0.41,0.36,0.5,0.52,0.4,0.31,0.11,0.07,0.09,0.07,0.08,0.05,0.06,0.06,0.07,0.04
h_0,0.41,0.43,0.36,0.37,0.38,0.36,0.13,0.11,0.07,0.08,0.08,0.07,0.07,0.07,0.06,0.05
a_0,0.38,0.35,0.39,0.4,0.6,0.49,0.12,0.12,0.09,0.06,0.04,0.08,0.06,0.04,0.08,0.05
e_0,0.45,0.36,0.48,0.43,0.45,0.36,0.12,0.1,0.08,0.08,0.08,0.04,0.05,0.07,0.03,0.04
g_0,0.44,0.39,0.34,0.4,0.38,0.37,0.08,0.16,0.09,0.08,0.08,0.08,0.04,0.07,0.07,0.07
