,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.81,3.58,4.4,4.18,4.02,0.89,1.4,0.74,0.85,0.76,1.37,0.45,0.72,0.87,0.66
d_1,4.57,1.11,5.51,4.83,4.01,3.75,1.2,0.82,0.86,2.18,1.01,0.78,0.63,0.97,0.79,0.36
e_1,2.53,4.85,1.12,5.44,5.02,4.81,1.52,1.54,1.08,0.97,0.87,1.22,0.79,0.94,2.33,1.13
c_1,5.32,5.88,4.49,1.12,5.02,4.79,1.32,1.38,2.02,0.55,1.1,0.88,0.79,1.04,0.85,0.82
b_1,6.29,6.37,5.95,2.92,1.13,6.59,2.09,1.83,1.69,1.35,2.09,1.37,0.82,1.29,1.23,0.91
a_1,9.25,8.44,8.76,7.88,4.39,1.14,3.08,2.94,1.64,1.82,2.02,1.91,1.3,4.89,1.79,1.35
h_1,17.04,15.14,15.87,18.04,14.16,14.95,1.69,4.18,2.97,3.12,2.84,2.54,3.3,2.62,2.53,1.94
g_1,21.37,16.63,17.47,19.41,21.64,14.95,3.59,1.74,3.96,4.24,3.15,3.48,1.99,4.52,3.42,3.64
c_0,19.6,9.92,19.1,42.93,20.04,20.04,6.65,5.74,2.17,7.51,4.2,4.1,3.26,3.99,4.37,2.41
d_0,20.12,40.72,10.6,19.54,18.92,21.6,6.7,8.02,5.48,2.27,3.99,5.13,3.26,3.99,4.58,3.8
b_0,23.35,17.98,19.42,31.1,44.34,19.64,7.57,6.99,2.42,5.37,2.27,4.06,3.38,4.33,4.42,3.25
f_0,44.51,24.43,24.31,21.62,24.37,21.6,6.39,4.61,5.23,5.56,5.41,2.31,4.05,5.41,4.47,2.11
h_0,28.02,27.25,24.65,27.71,25.28,20.04,9.86,7.67,5.48,6.05,5.74,4.54,5.68,4.19,5.94,3.84
a_0,32.61,29.52,28.97,28.75,34.68,58.91,9.62,7.93,5.44,7.6,3.25,5.84,5.24,2.48,7.45,4.2
e_0,44.51,28.8,44.56,32.77,32.59,28.59,8.52,8.72,6.9,6.85,6.7,3.28,5.55,5.87,2.33,3.72
g_0,41.12,36.91,32.49,31.1,33.4,37.38,7.24,13.84,6.5,8.09,6.95,6.68,3.98,7.09,6.79,7.6
