,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.66,1.17,1.1,0.99,0.99,0.97,0.44,0.33,0.39,0.45,0.39,0.34,0.37,0.3,0.34,0.22
f_1,0.98,0.66,1.16,1.06,1.04,0.89,0.39,0.52,0.4,0.42,0.38,0.46,0.37,0.25,0.34,0.33
e_1,1.12,0.8,0.64,1.37,1.11,1.04,0.53,0.52,0.38,0.48,0.45,0.47,0.4,0.33,0.48,0.35
c_1,1.35,1.24,0.88,0.63,1.2,0.97,0.53,0.53,0.47,0.25,0.32,0.4,0.33,0.32,0.36,0.33
b_1,1.38,1.24,1.14,0.79,0.61,1.2,0.63,0.62,0.55,0.43,0.56,0.45,0.41,0.39,0.37,0.38
a_1,1.41,1.62,1.43,1.23,0.79,0.57,0.76,0.67,0.59,0.5,0.6,0.52,0.57,0.45,0.53,0.5
h_1,1.67,1.86,1.72,1.67,1.67,1.32,0.55,0.78,0.66,0.64,0.67,0.59,0.6,0.6,0.6,0.51
g_1,2.16,1.89,1.92,1.76,1.64,1.6,0.7,0.52,0.64,0.66,0.68,0.68,0.65,0.44,0.65,0.57
c_0,1.35,2.01,2.02,2.88,1.92,1.87,0.82,0.93,0.57,1.11,0.81,0.65,0.72,0.57,0.66,0.51
d_0,2.41,1.79,1.34,2.41,1.96,1.77,0.89,0.97,0.67,0.59,0.74,0.77,0.81,0.61,0.7,0.56
b_0,1.63,2.16,1.82,2.82,2.53,1.71,0.8,0.8,0.48,0.84,0.56,0.68,0.79,0.59,0.65,0.54
f_0,2.05,2.55,2.04,2.2,2.25,1.67,0.92,0.64,0.76,0.81,0.69,0.54,0.71,0.61,0.82,0.46
a_0,1.99,2.12,2.14,2.54,2.54,2.44,1.08,0.86,0.69,0.85,0.55,0.81,0.55,0.68,0.78,0.7
h_0,2.08,2.45,2.24,2.21,2.09,1.99,1.12,0.98,0.88,0.82,0.78,0.81,0.69,0.78,0.65,0.67
e_0,2.34,3.46,2.55,2.41,2.42,1.83,1.02,0.82,0.82,0.9,0.9,0.47,0.82,0.79,0.52,0.56
g_0,2.62,2.49,2.45,2.26,2.29,1.92,0.88,1.13,0.97,0.97,0.87,0.83,0.84,0.63,0.81,0.79
