,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,34.2,0.05,0.05,0.07,0.07,0.05,0.26,0.64,0.39,0.23,0.35,0.39,0.73,0.4,,0.61
f_1,0.11,36.48,0.05,0.06,0.04,0.05,0.36,0.39,0.45,0.19,0.43,,0.55,0.43,0.33,0.73
d_1,0.07,0.08,41.21,0.05,0.08,0.07,0.33,,0.61,0.3,0.34,0.39,0.53,0.35,0.27,0.5
c_1,0.08,0.05,0.08,44.86,0.14,0.06,0.22,0.37,,0.26,0.33,0.43,0.67,0.38,0.29,0.47
b_1,0.05,0.08,0.06,0.07,51.94,0.14,0.31,0.53,0.34,0.35,,0.29,0.4,0.32,0.43,0.47
a_1,0.07,0.08,0.06,0.07,0.05,69.96,0.44,0.43,0.2,0.19,0.38,,0.55,,0.66,0.51
h_1,0.23,0.45,0.25,0.24,0.29,0.21,27.3,1.13,1.17,1.51,1.58,1.24,,1.23,1.28,3.11
d_0,0.36,0.42,,0.77,0.41,0.33,1.09,16.69,1.79,1.29,1.69,2.39,3.12,1.97,1.25,2.1
c_0,0.33,0.43,0.41,,0.29,0.45,1.48,1.26,17.93,1.56,3.33,1.62,3.51,1.25,1.71,2.92
g_1,0.21,0.2,0.54,0.23,0.19,0.22,0.98,1.51,1.23,35.14,1.24,1.93,2.26,1.38,1.75,
b_0,0.39,0.29,0.36,0.29,,0.44,1.79,2.36,1.93,1.3,19.41,2.01,2.96,3.04,1.66,1.93
f_0,0.3,,0.26,0.47,0.28,0.41,1.24,1.63,2.36,1.47,2.46,20.67,2.52,1.6,4.59,3.5
h_0,0.45,0.65,0.56,0.43,0.5,0.53,,3.8,3.21,2.79,2.58,3.01,,3.13,3.25,6.4
a_0,0.25,0.36,0.23,0.46,,,2.24,1.9,1.96,1.8,,2.34,3.84,31.25,,3.7
e_0,,0.32,0.4,0.24,0.51,0.35,1.04,1.56,2.48,1.99,2.26,1.55,4.38,2.05,33.16,2.38
g_0,0.36,0.33,0.92,0.49,0.76,,2.3,2.35,2.89,,3.46,5.93,3.91,2.89,2.59,
