,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.65,5.19,4.09,5.2,4.49,1.43,1.03,0.93,1.39,0.98,1.14,0.75,0.96,2.62,0.85
f_1,4.5,1.12,5.11,4.92,4.07,4.07,1.0,0.97,0.82,1.85,0.96,1.71,0.48,0.99,0.76,0.73
c_1,3.83,5.21,1.12,5.58,4.97,4.7,1.42,0.58,1.72,1.27,0.91,0.81,0.62,0.86,0.9,0.69
d_1,5.97,4.27,4.94,1.12,4.86,4.05,1.25,2.19,0.95,0.77,0.95,0.97,0.67,0.86,0.88,0.47
b_1,6.69,6.98,2.91,4.78,1.13,7.86,1.75,1.33,1.84,2.01,2.64,1.07,0.91,1.18,1.1,0.76
a_1,7.08,9.05,8.68,7.94,3.74,1.13,2.47,1.64,1.43,2.14,2.02,1.64,1.15,2.8,1.6,1.28
h_1,13.99,15.85,16.75,14.76,14.42,12.58,1.72,3.53,3.06,4.64,3.17,2.84,3.41,2.95,2.57,2.13
d_0,9.57,20.34,19.36,34.03,23.04,17.67,5.6,2.23,3.72,5.57,3.97,3.36,3.05,3.32,4.12,3.74
c_0,16.72,19.18,39.41,10.29,18.14,20.96,5.39,5.19,2.21,5.43,3.54,3.98,3.19,4.39,3.37,2.59
g_1,17.83,19.4,22.33,17.65,19.39,18.12,3.76,4.6,4.08,1.79,3.91,3.41,2.39,3.18,3.46,3.74
b_0,19.4,23.28,31.9,17.74,44.62,21.17,6.22,4.6,2.19,5.91,2.15,4.33,2.85,4.24,3.9,3.17
f_0,20.66,43.28,21.07,22.53,23.42,19.98,7.11,4.48,5.31,4.02,5.02,2.25,3.98,4.67,4.53,2.19
h_0,31.64,31.26,31.31,29.51,30.89,29.29,12.63,6.06,5.31,9.03,5.73,6.57,6.09,4.45,5.32,5.38
a_0,29.27,28.37,30.18,41.17,46.08,56.26,10.71,7.97,6.07,11.72,3.78,7.47,4.73,2.65,6.8,4.38
e_0,40.84,50.39,32.84,35.48,36.51,27.41,7.36,6.65,5.81,9.28,6.91,3.47,4.96,6.96,2.51,3.94
g_0,34.77,34.45,32.52,36.65,35.58,36.86,7.11,7.37,6.48,16.7,7.0,6.65,3.69,6.96,7.06,6.12
